dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,wall_seconds
Cora,GraphSAGE,none,{},42,06e54a47c487,0.81,0.00144,0.804,0.762,1.0,0.196,planetoid_public,0.7961,0.9633,0.9387,0.886,0.9395,0.6228,0.0,0.2143,0.598,0.2947,0.9386,0.886,,,0.5289,0.8746,0.0,0.0143,0.0638,2.1692,1,,12.44
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,06e54a47c487,0.81,0.00144,0.825,0.774,1.0,0.175,planetoid_public,0.817,0.9676,0.8635,0.886,0.8473,0.607,0.0,0.0,0.5875,0.2763,0.8635,0.886,,,0.5376,0.8763,0.0,0.0286,0.1323,2.8212,1,,14.57
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.81,0.00144,0.843,0.872,0.9929,0.1499,planetoid_public,0.8304,0.9353,0.701,0.886,0.6682,0.5544,0.0,0.0,0.5749,0.2596,0.6991,0.886,,,0.5101,0.8719,0.0,0.0071,0.1157,8.6377,1,,42.56
Cora,GraphSAGE,none,{},123,06e54a47c487,0.81,0.00144,0.798,0.772,1.0,0.202,planetoid_public,0.792,0.9648,0.9403,0.8719,0.9383,0.6228,0.0286,0.2,0.601,0.3,0.9403,0.8719,,,0.5511,0.8798,0.0214,0.0214,0.0721,2.979,1,,15.51
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,06e54a47c487,0.81,0.00144,0.818,0.776,1.0,0.182,planetoid_public,0.8202,0.9667,0.8697,0.8719,0.8527,0.6035,0.0,0.0,0.591,0.2825,0.8697,0.8719,,,0.547,0.8754,0.0,0.0214,0.1427,3.2343,1,,15.8
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,06e54a47c487,0.81,0.00144,0.832,0.85,0.9857,0.1537,planetoid_public,0.8155,0.9374,0.6154,0.8719,0.6218,0.5263,0.0,0.0143,0.5769,0.2684,0.6095,0.8719,,,0.5286,0.8711,0.0071,0.0143,0.106,8.5121,1,,44.48
Cora,GraphSAGE,none,{},456,06e54a47c487,0.81,0.00144,0.786,0.766,1.0,0.214,planetoid_public,0.7783,0.9629,0.9469,0.8702,0.9423,0.6228,0.0357,0.1643,0.607,0.3105,0.9469,0.8702,,,0.5238,0.8728,0.0,0.0143,0.0783,2.8078,1,,14.78
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,06e54a47c487,0.81,0.00144,0.819,0.794,1.0,0.181,planetoid_public,0.8076,0.9664,0.8681,0.8702,0.8629,0.6158,0.0,0.1357,0.5905,0.2816,0.8682,0.8702,,,0.5256,0.8719,0.0143,0.0214,0.1401,2.9739,1,,14.96
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",456,06e54a47c487,0.81,0.00144,0.842,0.866,0.9857,0.1437,planetoid_public,0.8336,0.9445,0.6602,0.8702,0.6409,0.5456,0.0,0.0071,0.5719,0.2596,0.653,0.8702,,,0.5067,0.8667,0.0,0.0071,0.116,9.0141,1,,47.21
Cora,GraphSAGE,none,{},789,06e54a47c487,0.81,0.00144,0.789,0.772,1.0,0.211,planetoid_public,0.7862,0.9648,0.9511,0.8789,0.9446,0.6228,0.0,0.1929,0.6055,0.3079,0.9491,0.8789,,,0.527,0.8772,0.0143,0.0214,0.0771,3.1319,1,,15.61
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",789,06e54a47c487,0.81,0.00144,0.822,0.788,1.0,0.178,planetoid_public,0.8161,0.968,0.8673,0.8789,0.8528,0.6053,0.0,0.0,0.589,0.2789,0.8673,0.8789,,,0.5123,0.8719,0.0071,0.0143,0.1363,2.7908,1,,16.39
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",789,06e54a47c487,0.81,0.00144,0.833,0.854,1.0,0.167,planetoid_public,0.8163,0.9367,0.589,0.8789,0.6332,0.5421,0.0,0.0286,0.5835,0.2693,0.581,0.8789,,,0.4993,0.8711,0.0071,0.0071,0.098,10.2096,1,,52.24
Cora,GraphSAGE,none,{},1024,06e54a47c487,0.81,0.00144,0.761,0.732,1.0,0.239,planetoid_public,0.7584,0.9605,0.9291,0.8684,0.9343,0.6228,0.0929,0.2,0.6195,0.3325,0.929,0.8684,,,0.5307,0.8763,0.0,0.0143,0.099,3.3875,1,,17.62
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",1024,06e54a47c487,0.81,0.00144,0.82,0.776,1.0,0.18,planetoid_public,0.8081,0.9638,0.8206,0.8684,0.8363,0.5947,0.0,0.0,0.59,0.2807,0.8207,0.8684,,,0.5299,0.8737,0.0,0.0214,0.1358,3.5481,1,,17.45
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",1024,06e54a47c487,0.81,0.00144,0.834,0.874,1.0,0.166,planetoid_public,0.8194,0.9317,0.6079,0.8684,0.585,0.5158,0.0,0.0,0.583,0.2684,0.6039,0.8684,,,0.5085,0.8711,0.0,0.0071,0.0973,10.6105,1,,53.65
