dataset,n_nodes,acc,lira
Chameleon,2277.0,0.44852,0.6224999999999999
Cora,2708.0,0.8787333333333334,0.5675333333333333
Citeseer,3327.0,0.7438333333333333,0.5912000000000001
ogbn-5k,5000.0,0.42333333333333334,0.5070370416666666
Actor,7600.0,0.3353,0.6097666666666667
Photo,7650.0,0.8251633986928105,0.4996543352271918
ogbn-10k,10000.0,0.445,0.5015093958333333
Computers,13752.0,0.7027000000000001,0.49793333333333334
PubMed,19717.0,0.8759666666666667,0.5053
ogbn-20k,20000.0,0.45658333333333334,0.503484640625
ogbn-50k,50000.0,0.48068333333333335,0.49891765416666667
ogbn-arxiv,169343.0,0.6660333333333334,0.503
