dataset,model,defense,mean_none,mean_defense,diff,p_value,p_adjusted,adjustment,effect_size_delta
Citeseer,GCN,dropedge,0.64096,0.65114,0.010180000000000012,0.002468109479571156,0.1678314446108386,holm,0.010180000000000012
Citeseer,GCN,label_smoothing,0.64096,0.66124,0.02028000000000003,0.001982331969183991,0.13678090587369537,holm,0.02028000000000003
Citeseer,GCN,lbp,0.64096,0.62684,-0.014119999999999999,0.20247724390693242,1.0,holm,-0.014119999999999999
Citeseer,GCN,gtd,0.64096,0.65318,0.012219999999999986,0.4642971258484281,1.0,holm,0.012219999999999986
Citeseer,GCN,sami,0.64096,0.63274,-0.008220000000000005,0.13411380091230793,1.0,holm,-0.008220000000000005
Citeseer,GraphSAGE,dropedge,0.7409800000000001,0.76162,0.020640000000000013,0.0026943083493772566,0.17782435105889893,holm,0.020640000000000013
Citeseer,GraphSAGE,label_smoothing,0.7409800000000001,0.80514,0.06415999999999997,3.600214472474916e-05,0.002700160854356187,holm,0.06415999999999997
Citeseer,GraphSAGE,lbp,0.7409800000000001,0.65622,-0.08475999999999999,0.006903158442473809,0.43489898187584997,holm,-0.08475999999999999
Citeseer,GraphSAGE,gtd,0.7409800000000001,0.62926,-0.11172,0.002502197565860795,0.1678314446108386,holm,-0.11172
Citeseer,GraphSAGE,sami,0.7409800000000001,0.6566000000000001,-0.08437999999999998,0.0006036098430385672,0.04285629885573827,holm,-0.08437999999999998
Cora,GCN,dropedge,0.58116,0.57282,-0.008340000000000014,0.386044236426121,1.0,holm,-0.008340000000000014
Cora,GCN,label_smoothing,0.58116,0.6157199999999999,0.034559999999999994,0.07761764323513268,1.0,holm,0.034559999999999994
Cora,GCN,lbp,0.58116,0.56172,-0.019440000000000034,0.18767394208260407,1.0,holm,-0.019440000000000034
Cora,GCN,gtd,0.58116,0.5644600000000001,-0.016700000000000003,0.0685869832062113,1.0,holm,-0.016700000000000003
Cora,GCN,sami,0.58116,0.56648,-0.014680000000000026,0.07909836537088039,1.0,holm,-0.014680000000000026
Cora,GCN,sami_no_lte,0.58116,0.56106,-0.020100000000000007,0.0052601307819815195,0.34190850082879876,holm,-0.020100000000000007
Cora,GCN,sami_no_adv,0.58116,0.5687399999999999,-0.01242000000000001,0.10046559552721301,1.0,holm,-0.01242000000000001
Cora,GCN,sami_no_gate,0.58116,0.5594600000000001,-0.021700000000000007,0.024092595705734587,1.0,holm,-0.021700000000000007
Cora,GCN,sami_temp_only,0.58116,0.5734,-0.007760000000000012,0.0915830187167291,1.0,holm,-0.007760000000000012
Cora,GCN,advreg,0.58116,0.5722599999999999,-0.008900000000000019,0.22326600456947024,1.0,holm,-0.008900000000000019
Cora,GraphSAGE,dropedge,0.65008,0.6801999999999999,0.03011999999999999,0.00016275739334435245,0.01188128971413773,holm,0.03011999999999999
Cora,GraphSAGE,label_smoothing,0.65008,0.7115199999999999,0.06144000000000001,0.0005500132699559941,0.03960095543683158,holm,0.06144000000000001
Cora,GraphSAGE,lbp,0.65008,0.57872,-0.07135999999999998,0.005331656549490249,0.34190850082879876,holm,-0.07135999999999998
Cora,GraphSAGE,gtd,0.65008,0.5847199999999999,-0.06536000000000002,2.4041196571936733e-05,0.0018511721360391284,holm,-0.06536000000000002
Cora,GraphSAGE,sami,0.65008,0.5737,-0.07638,1.1659374325592261e-05,0.0009210905717217887,holm,-0.07638
Cora,GraphSAGE,sami_no_lte,0.65008,0.5713600000000001,-0.07871999999999998,0.00011410001657742985,0.00844340122672981,holm,-0.07871999999999998
Cora,GraphSAGE,sami_no_adv,0.65008,0.58392,-0.06616000000000002,1.5650507144908975e-05,0.0012207395573029,holm,-0.06616000000000002
Cora,GraphSAGE,sami_no_gate,0.65008,0.5739799999999999,-0.07609999999999999,2.7319664835105582e-05,0.0020762945274680243,holm,-0.07609999999999999
Cora,GraphSAGE,sami_temp_only,0.65008,0.62474,-0.025339999999999984,0.0007776313776151482,0.054434196433060376,holm,-0.025339999999999984
Cora,GraphSAGE,advreg,0.65008,0.6144800000000001,-0.035599999999999986,9.494787479044175e-06,0.0007595829983235339,holm,-0.035599999999999986
PubMed,GCN,dropedge,0.49878,0.49939999999999996,0.0006199999999999761,0.3301914302907195,1.0,holm,0.0006199999999999761
PubMed,GCN,label_smoothing,0.49878,0.49844,-0.0003400000000000181,0.7267837563088171,1.0,holm,-0.0003400000000000181
PubMed,GCN,lbp,0.49878,0.49884000000000006,6.0000000000004494e-05,0.9874378595200939,1.0,holm,6.0000000000004494e-05
PubMed,GCN,gtd,0.49878,0.49660000000000004,-0.002180000000000004,0.17754420573167948,1.0,holm,-0.002180000000000004
PubMed,GCN,sami,0.49878,0.5050399999999999,0.006259999999999999,0.24281132395918764,1.0,holm,0.006259999999999999
PubMed,GraphSAGE,dropedge,0.50872,0.5095799999999999,0.0008600000000000164,0.742219519996989,1.0,holm,0.0008600000000000164
PubMed,GraphSAGE,label_smoothing,0.50872,0.51166,0.0029400000000000094,0.3384817586145406,1.0,holm,0.0029400000000000094
PubMed,GraphSAGE,lbp,0.50872,0.50822,-0.0004999999999999894,0.8849405775744881,1.0,holm,-0.0004999999999999894
PubMed,GraphSAGE,gtd,0.50872,0.5074799999999999,-0.0012399999999999744,0.5133895238494108,1.0,holm,-0.0012399999999999744
PubMed,GraphSAGE,sami,0.50872,0.51112,0.0024000000000000354,0.4624216216321342,1.0,holm,0.0024000000000000354
synthetic_high_dense,GCN,dropedge,0.5038600000000001,0.5162199999999999,0.012360000000000005,0.3225646133427884,1.0,holm,0.012360000000000005
synthetic_high_dense,GCN,label_smoothing,0.5038600000000001,0.50682,0.002960000000000007,0.5655319759070028,1.0,holm,0.002960000000000007
synthetic_high_dense,GCN,lbp,0.5038600000000001,0.5101,0.006239999999999979,0.5700677492669819,1.0,holm,0.006239999999999979
synthetic_high_dense,GCN,gtd,0.5038600000000001,0.50256,-0.00129999999999999,0.6911437111182698,1.0,holm,-0.00129999999999999
synthetic_high_dense,GCN,sami,0.5038600000000001,0.5131399999999999,0.00928,0.35409335581431,1.0,holm,0.00928
synthetic_high_dense,GraphSAGE,dropedge,0.49304000000000003,0.49954,0.006500000000000006,0.5702668236123712,1.0,holm,0.006500000000000006
synthetic_high_dense,GraphSAGE,label_smoothing,0.49304000000000003,0.49728000000000006,0.004239999999999989,0.8448762921612486,1.0,holm,0.004239999999999989
synthetic_high_dense,GraphSAGE,lbp,0.49304000000000003,0.5101600000000001,0.017119999999999958,0.267532479835263,1.0,holm,0.017119999999999958
synthetic_high_dense,GraphSAGE,gtd,0.49304000000000003,0.49096,-0.002080000000000015,0.6599905381025066,1.0,holm,-0.002080000000000015
synthetic_high_dense,GraphSAGE,sami,0.49304000000000003,0.5128199999999999,0.019779999999999985,0.013697672819435638,0.8492557148050096,holm,0.019779999999999985
synthetic_low_medium,GCN,dropedge,0.5580999999999999,0.56386,0.00576000000000001,0.8279862326179045,1.0,holm,0.00576000000000001
synthetic_low_medium,GCN,label_smoothing,0.5580999999999999,0.56906,0.010960000000000036,0.492287529560422,1.0,holm,0.010960000000000036
synthetic_low_medium,GCN,lbp,0.5580999999999999,0.50254,-0.055559999999999964,0.17974140275831355,1.0,holm,-0.055559999999999964
synthetic_low_medium,GCN,gtd,0.5580999999999999,0.54312,-0.01497999999999997,0.13761074013979238,1.0,holm,-0.01497999999999997
synthetic_low_medium,GCN,sami,0.5580999999999999,0.5478400000000001,-0.010259999999999991,0.44624077390313266,1.0,holm,-0.010259999999999991
synthetic_low_medium,GraphSAGE,dropedge,0.51746,0.50878,-0.008679999999999976,0.5185900771466371,1.0,holm,-0.008679999999999976
synthetic_low_medium,GraphSAGE,label_smoothing,0.51746,0.59756,0.0801,0.02450946647787015,1.0,holm,0.0801
