dataset,model,defense,baseline,metric,mean_baseline,mean_defense,diff,t_stat,p_value,n_seeds,util_diff,util_baseline,util_defense,p_adjusted,adjustment,effect_size_delta
Citeseer,GCN,sami,none,lira_attack_auc,0.55978,0.5752200000000001,0.015439999999999964,-3.714437203934092,0.020574151603041272,5,0.0065999999999999835,0.71706,0.72366,0.9669851253429398,holm,0.015439999999999964
Citeseer,GCN,lbp,none,lira_attack_auc,0.55978,0.5932999999999999,0.033520000000000015,-17.39943429046708,6.404823060119383e-05,5,-0.12082000000000004,0.71706,0.59624,0.0035867009136668544,holm,0.033520000000000015
Citeseer,GCN,gtd,none,lira_attack_auc,0.55978,0.54602,-0.01376000000000004,14.630021568251292,0.00012698838670786812,5,0.007079999999999998,0.71706,0.72414,0.006984361268932746,holm,-0.01376000000000004
Citeseer,GCN,dropedge,none,lira_attack_auc,0.55978,0.55754,-0.0022399999999999976,1.302721953810555,0.2626070255873459,5,0.0036199999999999787,0.71706,0.72068,1.0,holm,-0.0022399999999999976
Citeseer,GCN,label_smoothing,none,lira_attack_auc,0.55978,0.56738,0.007599999999999984,-4.689928604175261,0.009378242349370661,5,-0.003320000000000034,0.71706,0.7137399999999999,0.4595338751191624,holm,0.007599999999999984
Citeseer,GraphSAGE,sami,none,lira_attack_auc,0.5956400000000001,0.59032,-0.005320000000000014,2.2756247892945414,0.08519687191181943,5,0.004479999999999973,0.7400599999999999,0.74454,1.0,holm,-0.005320000000000014
Citeseer,GraphSAGE,lbp,none,lira_attack_auc,0.5956400000000001,0.69566,0.10002,-57.36163058697736,5.530773527481666e-07,5,-0.127,0.7400599999999999,0.6130599999999999,3.318464116488999e-05,holm,0.10002
Citeseer,GraphSAGE,gtd,none,lira_attack_auc,0.5956400000000001,0.5509600000000001,-0.044679999999999984,37.44981560774895,3.0359242583063364e-06,5,-0.0009200000000000097,0.7400599999999999,0.7391400000000001,0.00017911953124007384,holm,-0.044679999999999984
Citeseer,GraphSAGE,dropedge,none,lira_attack_auc,0.5956400000000001,0.60504,0.009399999999999986,-3.4760023940207696,0.025444284215969632,5,0.01005999999999998,0.7400599999999999,0.75012,1.0,holm,0.009399999999999986
Citeseer,GraphSAGE,label_smoothing,none,lira_attack_auc,0.5956400000000001,0.61052,0.014879999999999982,-6.592595206577568,0.0027420887089042245,5,-0.002420000000000022,0.7400599999999999,0.73764,0.1453307015719239,holm,0.014879999999999982
Cora,GCN,sami,none,lira_attack_auc,0.53944,0.53268,-0.006759999999999966,1.618466597324935,0.18087308053980056,5,-0.0031600000000000074,0.86538,0.86222,1.0,holm,-0.006759999999999966
Cora,GCN,lbp,none,lira_attack_auc,0.53944,0.5614999999999999,0.02205999999999999,-4.774869404348594,0.008808575585791682,5,-0.18208000000000002,0.86538,0.6833,0.44042877928958407,holm,0.02205999999999999
Cora,GCN,gtd,none,lira_attack_auc,0.53944,0.53508,-0.004360000000000008,1.744893614354415,0.1559436878821148,5,0.008679999999999955,0.86538,0.8740600000000001,1.0,holm,-0.004360000000000008
Cora,GCN,dropedge,none,lira_attack_auc,0.53944,0.5369999999999999,-0.0024399999999999535,1.1960784313725263,0.29771790353801975,5,0.0038599999999999524,0.86538,0.8692399999999999,1.0,holm,-0.0024399999999999535
Cora,GCN,label_smoothing,none,lira_attack_auc,0.53944,0.54904,0.009599999999999987,-5.441911050990175,0.005536025478490256,5,0.0022199999999999555,0.86538,0.8676,0.28233729940300306,holm,0.009599999999999987
Cora,GraphSAGE,sami,none,lira_attack_auc,0.56672,0.53876,-0.027960000000000006,6.140888770449318,0.0035653369722784467,5,0.0036999999999999924,0.877,0.8807,0.18539752255847922,holm,-0.027960000000000006
Cora,GraphSAGE,lbp,none,lira_attack_auc,0.56672,0.64464,0.07791999999999999,-21.6868220059553,2.6744624335658737e-05,5,-0.176,0.877,0.701,0.001524443587132548,holm,0.07791999999999999
Cora,GraphSAGE,gtd,none,lira_attack_auc,0.56672,0.53824,-0.028479999999999995,28.029541066771312,9.638535752324042e-06,5,-0.0010999999999999899,0.877,0.8759,0.0005590350736347945,holm,-0.028479999999999995
Cora,GraphSAGE,dropedge,none,lira_attack_auc,0.56672,0.5748,0.008079999999999999,-2.525690713000672,0.0649618766334242,5,-0.003520000000000012,0.877,0.87348,1.0,holm,0.008079999999999999
