dataset,model,defense,metric,mean,std,ci_low,ci_high,n_seeds
Citeseer,GCN,dropedge,test_accuracy,0.72068,0.009109171202694551,0.71408,0.72786,5
Citeseer,GCN,dropedge,conf_attack_auc,0.65114,0.01977607139954747,0.63538,0.66502,5
Citeseer,GCN,dropedge,lira_attack_auc,0.55754,0.008258510761632528,0.55128,0.5640850000000001,5
Citeseer,GCN,dropedge,ece_test,0.14962,0.012000083333043988,0.13974000000000003,0.1582,5
Citeseer,GCN,dropedge,lira_tpr_at_0.01_fpr,0.01954,0.00849635215842658,0.01308,0.026314999999999988,5
Citeseer,GCN,gtd,test_accuracy,0.72414,0.006622159768534735,0.7189000000000001,0.7293799999999999,5
Citeseer,GCN,gtd,conf_attack_auc,0.65318,0.021217139298218318,0.6357999999999999,0.6689,5
Citeseer,GCN,gtd,lira_attack_auc,0.54602,0.0068510583124069034,0.540615,0.551244,5
Citeseer,GCN,gtd,ece_test,0.20181999999999997,0.009306556828387177,0.19489850000000003,0.20866099999999999,5
Citeseer,GCN,gtd,lira_tpr_at_0.01_fpr,0.01532,0.0072949982864974,0.009760000000000001,0.02164,5
Citeseer,GCN,label_smoothing,test_accuracy,0.7137399999999999,0.008748599887982097,0.7072800000000001,0.7206400000000001,5
Citeseer,GCN,label_smoothing,conf_attack_auc,0.66124,0.024627383133414747,0.64012,0.6811200000000001,5
Citeseer,GCN,label_smoothing,lira_attack_auc,0.56738,0.007102605155856538,0.5619,0.5724,5
Citeseer,GCN,label_smoothing,ece_test,0.06594,0.007375161015191464,0.060698499999999996,0.07204,5
Citeseer,GCN,label_smoothing,lira_tpr_at_0.01_fpr,0.02,0.010486658190291128,0.0119,0.02814,5
Citeseer,GCN,lbp,test_accuracy,0.59624,0.011573374615901778,0.5890194999999999,0.606311,5
Citeseer,GCN,lbp,conf_attack_auc,0.62684,0.021069242985926207,0.6105564999999998,0.64226,5
Citeseer,GCN,lbp,lira_attack_auc,0.5932999999999999,0.008086099183166134,0.586596,0.5986800000000001,5
Citeseer,GCN,lbp,ece_test,0.06108,0.005144608828667151,0.05761999999999999,0.06534,5
Citeseer,GCN,lbp,lira_tpr_at_0.01_fpr,0.03274,0.009430959654245159,0.02582,0.0401,5
Citeseer,GCN,none,test_accuracy,0.71706,0.0046166004808733535,0.7138800000000001,0.72098,5
Citeseer,GCN,none,conf_attack_auc,0.64096,0.01945720946076288,0.62528,0.65494,5
Citeseer,GCN,none,lira_attack_auc,0.55978,0.005920895202585474,0.55456,0.5637445,5
Citeseer,GCN,none,ece_test,0.17329999999999998,0.01045442490049071,0.16444,0.18106,5
Citeseer,GCN,none,lira_tpr_at_0.01_fpr,0.019680000000000003,0.009737915588050658,0.012636000000000005,0.027784000000000003,5
Citeseer,GCN,sami,test_accuracy,0.72366,0.005301226273231482,0.7196195000000001,0.7276999999999999,5
Citeseer,GCN,sami,conf_attack_auc,0.63274,0.02301343086112979,0.61242,0.64788,5
Citeseer,GCN,sami,lira_attack_auc,0.5752200000000001,0.014969201715522445,0.5614800000000001,0.58448,5
Citeseer,GCN,sami,ece_test,0.04306,0.004263566582100014,0.03952,0.04586,5
Citeseer,GCN,sami,lira_tpr_at_0.01_fpr,0.0332,0.014096630803138742,0.0222395,0.04328,5
Citeseer,GraphSAGE,dropedge,test_accuracy,0.75012,0.0075823479213235675,0.74412,0.755824,5
Citeseer,GraphSAGE,dropedge,conf_attack_auc,0.76162,0.023477159112635444,0.7461,0.7810270000000001,5
Citeseer,GraphSAGE,dropedge,lira_attack_auc,0.60504,0.013160091185094409,0.59316,0.6142799999999999,5
Citeseer,GraphSAGE,dropedge,ece_test,0.14245999999999998,0.012580461040836306,0.13265999999999997,0.15168,5
Citeseer,GraphSAGE,dropedge,lira_tpr_at_0.01_fpr,0.04778,0.009524547233333456,0.03998,0.054979999999999994,5
Citeseer,GraphSAGE,gtd,test_accuracy,0.7391400000000001,0.007336756776669123,0.7331164999999998,0.7444,5
Citeseer,GraphSAGE,gtd,conf_attack_auc,0.62926,0.023720729331114597,0.61322,0.65022,5
Citeseer,GraphSAGE,gtd,lira_attack_auc,0.5509600000000001,0.010024619693534515,0.5429,0.55942,5
Citeseer,GraphSAGE,gtd,ece_test,0.22884000000000002,0.008538325362739463,0.22315999999999997,0.2350265,5
Citeseer,GraphSAGE,gtd,lira_tpr_at_0.01_fpr,0.022380000000000004,0.010890684092379137,0.0147,0.03172,5
Citeseer,GraphSAGE,label_smoothing,test_accuracy,0.73764,0.008619918793120986,0.7306,0.7442399999999999,5
Citeseer,GraphSAGE,label_smoothing,conf_attack_auc,0.80514,0.02438991594901468,0.7900600000000001,0.82476,5
Citeseer,GraphSAGE,label_smoothing,lira_attack_auc,0.61052,0.009035319584829298,0.60334,0.61684,5
Citeseer,GraphSAGE,label_smoothing,ece_test,0.03204,0.011073752751438872,0.021700000000000004,0.03938,5
Citeseer,GraphSAGE,label_smoothing,lira_tpr_at_0.01_fpr,0.0478,0.011411397810960759,0.038040000000000004,0.05576,5
Citeseer,GraphSAGE,lbp,test_accuracy,0.6130599999999999,0.014320370106949056,0.60222,0.6239,5
Citeseer,GraphSAGE,lbp,conf_attack_auc,0.65622,0.014496792748742767,0.64474,0.6677,5
Citeseer,GraphSAGE,lbp,lira_attack_auc,0.69566,0.011439318161498957,0.6862600000000001,0.70328,5
Citeseer,GraphSAGE,lbp,ece_test,0.06474,0.009115536188288653,0.05736,0.07162,5
