dataset,defense,acc,lira
Cora,none,0.877,0.567
Cora,gtd,0.876,0.538
Cora,lbp,0.701,0.645
Cora,maskarmor,0.877,0.58
Cora,sami,0.874,0.51
Cora,dp,0.784,0.509
Citeseer,none,0.74,0.596
Citeseer,gtd,0.739,0.551
Citeseer,lbp,0.621,0.53
Citeseer,maskarmor,0.74,0.66
Citeseer,sami,0.731,0.537
Chameleon,none,0.449,0.623
Chameleon,gtd,0.475,0.581
Chameleon,lbp,0.389,0.544
Chameleon,maskarmor,0.449,0.774
Chameleon,sami,0.46,0.551
Actor,none,0.335,0.605
Actor,gtd,0.339,0.585
Actor,lbp,0.289,0.543
Actor,maskarmor,0.335,0.797
Actor,sami,0.317,0.552
Actor,sami_sel,0.306,0.537
