dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,pareto_lam,pareto_noise,pareto_lbp_scale,pareto_gtd_gamma
Cora,GraphSAGE,none,{},42,eac9960f8ba0,0.81,0.00144,0.8809,1.0,0.1191,0.8756,0.9802,0.6572,0.6528,0.6455,0.5854,0.0,0.0102,0.6569,0.6482,,,0.6461,0.5762,0.0295,0.1016,0.0549,1.4308,1,,,,,
Cora,GraphSAGE,sami,"{""lam"": 0.25, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",42,eac9960f8ba0,0.81,0.00144,0.891,1.0,0.109,0.8865,0.9819,0.6307,0.615,0.6103,0.5605,0.0,0.0102,0.6328,0.6196,,,0.6351,0.5697,0.0259,0.0923,0.0509,4.5374,1,,0.25,0.0,,
Cora,GraphSAGE,sami,"{""lam"": 0.25, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8864,0.9926,0.1062,0.8793,0.9606,0.5871,0.5577,0.5714,0.5346,0.0,0.0,0.5693,0.5559,,,0.5419,0.5185,0.0028,0.0175,0.1018,5.5145,1,,0.25,0.25,,
Cora,GraphSAGE,sami,"{""lam"": 0.25, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",42,eac9960f8ba0,0.81,0.00144,0.8744,0.9686,0.0942,0.864,0.9521,0.5715,0.554,0.5613,0.5374,0.0,0.0,0.563,0.5531,,,0.5216,0.5051,0.0037,0.0194,0.1435,5.5242,1,,0.25,0.4,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",42,eac9960f8ba0,0.81,0.00144,0.8938,1.0,0.1062,0.8897,0.9822,0.6224,0.6113,0.6005,0.5485,0.0,0.0102,0.6077,0.6085,,,0.6294,0.5683,0.0268,0.0849,0.0535,5.5173,1,,0.5,0.0,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8864,0.9926,0.1062,0.8812,0.9605,0.5833,0.554,0.5685,0.5346,0.0,0.0,0.5652,0.5596,,,0.5386,0.5157,0.0018,0.0175,0.1035,5.7699,1,,0.5,0.25,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",42,eac9960f8ba0,0.81,0.00144,0.8763,0.9677,0.0914,0.866,0.9525,0.5673,0.5614,0.5588,0.5365,0.0,0.0,0.5539,0.5282,,,0.5217,0.5051,0.0046,0.0194,0.1445,6.1414,1,,0.5,0.4,,
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",42,eac9960f8ba0,0.81,0.00144,0.892,1.0,0.108,0.8875,0.9824,0.6159,0.5974,0.5925,0.5392,0.0,0.0102,0.6043,0.603,,,0.6172,0.5605,0.0259,0.072,0.0538,5.5176,1,,1.0,0.0,,
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8883,0.9926,0.1043,0.8832,0.9599,0.5801,0.5522,0.5655,0.5328,0.0,0.0,0.5628,0.5549,,,0.5367,0.5143,0.0018,0.0175,0.1012,5.7258,1,,1.0,0.25,,
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",42,eac9960f8ba0,0.81,0.00144,0.8744,0.9658,0.0914,0.8642,0.9521,0.5647,0.554,0.5565,0.5355,0.0,0.0,0.5532,0.5217,,,0.5208,0.5046,0.0037,0.0185,0.1429,5.9608,1,,1.0,0.4,,
