dataset,model,defense,defense_params,seed,homophily,density,train_time_seconds,test_accuracy,test_f1,test_auroc,train_ego_gap,train_ego_gap_std,test_ego_gap,test_ego_gap_std,ego_gap_diff,conf_attack_auc,conf_attack_acc,conf_attack_tpr01,conf_attack_tpr05,conf_attack_adv,threshold_attack_auc,threshold_attack_acc,threshold_attack_tpr01,threshold_attack_tpr05,threshold_attack_adv,shadow_attack_auc,shadow_attack_acc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,label_only_attack_auc,label_only_attack_acc,label_only_attack_tpr01,label_only_attack_tpr05,label_only_attack_adv,label_only_flip_rate,ece_test,actual_dp_epsilon,dp_delta,dp_clip_norm,dp_noise_multiplier,lambda_epsd,epsd_ablation,model_sha256,prediction_sha256,normal_loss_ep1,epsd_kl_loss_ep1,total_loss_ep1,normal_loss_final,epsd_kl_loss_final,total_loss_final
Cora,LogReg,none,{},42,0.81,0.00144,0.0302,0.7341,0.718,0.9447,,,,,,0.7272,0.6921,0.0423,0.1408,0.3943,0.6761,0.6143,0.0078,0.0529,0.3795,0.7295,0.6843,0.0264,0.1205,0.3849,,,,,,,0.0176,,,,,0.0,none,N/A,307843f7cb85e25b3064c809a24b0c387be79617195fc908d14ceeca50fe3493,,,,,,
Cora,LogReg,none,{},123,0.81,0.00144,0.0252,0.7607,0.7439,0.9466,,,,,,0.729,0.6591,0.0433,0.1453,0.3422,0.6576,0.6012,0.0114,0.0563,0.3501,0.7186,0.6731,0.0434,0.1096,0.3531,,,,,,,0.026,,,,,0.0,none,N/A,24687177a33b4e2b2a74967d7ecfb65e9cfd42ce526970509916b3787c920d80,,,,,,
Cora,LogReg,none,{},456,0.81,0.00144,0.0224,0.7548,0.7375,0.948,,,,,,0.7219,0.6954,0.0365,0.1201,0.4079,0.6836,0.6272,0.0158,0.057,0.3833,0.7488,0.695,0.018,0.1133,0.3946,,,,,,,0.0351,,,,,0.0,none,N/A,ad621d6407971f480a45c96a337160df53a0133a8baaa7ed74365766bd1de11b,,,,,,
Cora,LogReg,none,{},789,0.81,0.00144,0.0254,0.7415,0.7203,0.9453,,,,,,0.7695,0.6977,0.053,0.2025,0.4043,0.6742,0.6219,0.0094,0.0375,0.375,0.7528,0.6859,0.0461,0.1742,0.3867,,,,,,,0.0339,,,,,0.0,none,N/A,8396adc3158dadd0c52e2f806aa117896e64b9a2b24a9fbf9b020f3370189530,,,,,,
Cora,LogReg,none,{},1024,0.81,0.00144,0.0247,0.7216,0.6946,0.94,,,,,,0.7643,0.7014,0.0378,0.1498,0.4189,0.6721,0.6078,0.0046,0.0465,0.3998,0.7635,0.6965,0.0503,0.1752,0.3976,,,,,,,0.0223,,,,,0.0,none,N/A,7785fb08fffdcb1486c20ebdf35b208e61dbcbfb0df6e87cd94e77b46301569b,,,,,,
Cora,LogReg,none,{},2024,0.81,0.00144,0.0248,0.7504,0.724,0.9456,,,,,,0.7338,0.6712,0.0543,0.1252,0.3764,0.6634,0.5986,0.0113,0.0567,0.3515,0.7231,0.6765,0.0393,0.1028,0.3621,,,,,,,0.0235,,,,,0.0,none,N/A,eded9b270e340626fc27035caed13965e71346d06b91303e448d82208cc37555,,,,,,
Cora,LogReg,none,{},3141,0.81,0.00144,0.0221,0.7452,0.718,0.9477,,,,,,0.7253,0.6736,0.0189,0.1336,0.3628,0.6732,0.6125,0.007,0.0456,0.3712,0.7391,0.6814,0.0201,0.1183,0.3813,,,,,,,0.0309,,,,,0.0,none,N/A,9ec8bc79f0462623a09f6761e2594b2da973d34543f3666bcaa5ac50561dbc35,,,,,,
Cora,LogReg,none,{},5000,0.81,0.00144,0.0238,0.7341,0.7053,0.9415,,,,,,0.7485,0.6916,0.0437,0.1828,0.3952,0.6759,0.6199,0.0101,0.053,0.3731,0.7363,0.6881,0.0405,0.1456,0.3808,,,,,,,0.024,,,,,0.0,none,N/A,6c70eea11c71c0cc780a4631a3940c04f62261f575ee1cba1a08c547d84e8817,,,,,,
Cora,LogReg,none,{},7777,0.81,0.00144,0.0242,0.7393,0.7137,0.9454,,,,,,0.7406,0.7046,0.0221,0.1132,0.4009,0.6883,0.6315,0.0234,0.0573,0.3926,0.7504,0.6903,0.0151,0.1319,0.3994,,,,,,,0.0317,,,,,0.0,none,N/A,e24d425cfa0becc6521077835141181299c713cced9fb885fbb5052cab2bb690,,,,,,
Cora,LogReg,none,{},9999,0.81,0.00144,0.0237,0.7378,0.7161,0.9441,,,,,,0.727,0.6844,0.0144,0.1326,0.387,0.6844,0.6211,0.0123,0.0671,0.3889,0.7438,0.6952,0.0247,0.1304,0.3927,,,,,,,0.0337,,,,,0.0,none,N/A,c8fdc89260bdb5adc2ed86eccfa618b5ea1379d8f51decdabe16db5276aa1dac,,,,,,
