dataset,model,defense,defense_params,seed,homophily,density,train_time_seconds,test_accuracy,test_f1,test_auroc,train_ego_gap,train_ego_gap_std,test_ego_gap,test_ego_gap_std,ego_gap_diff,conf_attack_auc,conf_attack_acc,conf_attack_tpr01,conf_attack_tpr05,conf_attack_adv,threshold_attack_auc,threshold_attack_acc,threshold_attack_tpr01,threshold_attack_tpr05,threshold_attack_adv,shadow_attack_auc,shadow_attack_acc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,label_only_attack_auc,label_only_attack_acc,label_only_attack_tpr01,label_only_attack_tpr05,label_only_attack_adv,label_only_flip_rate,loss_attack_auc,loss_attack_acc,loss_attack_tpr01,loss_attack_tpr05,loss_attack_adv,ece_test,actual_dp_epsilon,dp_delta,dp_clip_norm,dp_noise_multiplier,lambda_epsd,epsd_ablation,model_sha256,prediction_sha256,normal_loss_ep1,epsd_kl_loss_ep1,total_loss_ep1,normal_loss_final,epsd_kl_loss_final,total_loss_final
Cora,GCN,none,{},42,0.81,0.00144,0.0,0.8679,0.862,0.9821,0.0293,0.1096,0.0199,0.0604,0.0094,0.5774,0.5734,0.013,0.0593,0.1545,0.5647,0.5355,0.0092,0.0489,0.1413,0.5724,0.5674,0.0111,0.0545,0.1431,0.5242,0.5045,0.0,0.0,0.069,0.5775,0.5647,0.5355,0.0092,0.0489,0.1413,0.0503,,,,,0.0,none,6cd45a4b901f38ef787139b2152ee16f1b3fb50d9d5c5bdff27218e20a50e8cb,dd6e1a6a0980f2a3c4153c53dcb891d1ff359d8d35c5ecf3c2cfcea093b4d23f,1.9696,0.0,1.9696,0.0915,0.0,0.0915
Cora,GCN,none,{},123,0.81,0.00144,0.0,0.8642,0.8578,0.9772,0.0286,0.119,0.0213,0.0554,0.0074,0.5686,0.5559,0.0,0.0525,0.1694,0.5805,0.542,0.0083,0.0683,0.1699,0.5902,0.5822,0.0139,0.0545,0.1708,0.5528,0.5345,0.0,0.0,0.087,0.5635,0.5805,0.542,0.0083,0.0683,0.1699,0.0427,,,,,0.0,none,322385394056b24031b8a1f2ae0275e543ee39df0149c20366921fe15779de12,bf175ff40cef1d80d733b2b07727995a2b1a548aa6fdaab7a4a1670759625b3b,1.9646,0.0,1.9646,0.1003,0.0,0.1003
Cora,GCN,none,{},456,0.81,0.00144,0.0,0.8708,0.8619,0.9834,0.0349,0.1214,0.0181,0.0468,0.0168,0.578,0.5789,0.0221,0.0867,0.161,0.5602,0.5355,0.0046,0.0452,0.145,0.5923,0.5697,0.0129,0.0711,0.1533,0.5442,0.5225,0.0,0.0,0.09,0.587,0.5602,0.5355,0.0046,0.0452,0.145,0.0307,,,,,0.0,none,d9ce7c7847b503cfacbe0ecd81dd2e4e57c05665dfcfa7dfee2c55b5071e6d7a,9d9be68ffbff474d4981abea23f7b41908b7710046cc1a096f20ccb8f972a371,1.9653,0.0,1.9653,0.1055,0.0,0.1055
Cora,GCN,none,{},789,0.81,0.00144,0.0,0.8686,0.8517,0.9848,0.0247,0.079,0.0201,0.054,0.0046,0.5721,0.5605,0.0126,0.0521,0.1408,0.5702,0.5457,0.0074,0.0554,0.1293,0.5574,0.5609,0.0102,0.0757,0.1311,0.5357,0.522,0.0,0.0,0.062,0.6085,0.5702,0.5457,0.0074,0.0554,0.1293,0.0297,,,,,0.0,none,e8f44f54e8d04c341fa97bc1d677f788be13196fe1458aa057d5a35e978924aa,1a953bc75ab6895d05c275bc71e51951c1f79240c619db875ac306c5c0fd45bd,1.9572,0.0,1.9572,0.1079,0.0,0.1079
Cora,GCN,none,{},1024,0.81,0.00144,0.0,0.859,0.8467,0.9817,0.0316,0.1314,0.0191,0.0524,0.0126,0.5829,0.5623,0.0168,0.0821,0.1477,0.5633,0.5309,0.0092,0.0434,0.1505,0.5872,0.5757,0.0139,0.0702,0.157,0.5541,0.535,0.0,0.0,0.097,0.591,0.5633,0.5309,0.0092,0.0434,0.1505,0.0473,,,,,0.0,none,3538fb4958934aa8e99967dc1c0b3a0be0769004069e2f73e5639be87464a21c,5f8174b4ea970021f4ce6572e66519606be1ac589245d9836ef7c866ee0ce12f,1.954,0.0,1.954,0.0924,0.0,0.0924
Cora,GCN,none,{},2024,0.81,0.00144,0.0,0.8915,0.8831,0.9827,0.0293,0.113,0.0202,0.0549,0.0091,0.5712,0.5734,0.0128,0.0528,0.1437,0.5576,0.5319,0.0037,0.0452,0.1376,0.586,0.5665,0.0092,0.0628,0.1588,0.5537,0.53,0.0,0.0,0.093,0.5655,0.5576,0.5319,0.0037,0.0452,0.1376,0.0335,,,,,0.0,none,d12f6b7d915021dae1591d254812e989ca9a24cdcfd0dca56c5358eb4fbd3fc8,05a6565a784239296967d4b97ed4c225f8b72d6e45a4a27f562269bba362d117,1.9446,0.0,1.9446,0.0876,0.0,0.0876
Cora,GCN,none,{},3141,0.81,0.00144,0.0,0.8768,0.864,0.9798,0.0312,0.1201,0.0202,0.0572,0.011,0.5618,0.5706,0.0166,0.061,0.1438,0.5618,0.5365,0.0157,0.0674,0.133,0.5726,0.5651,0.0157,0.0572,0.133,0.5249,0.509,0.0,0.0,0.067,0.577,0.5618,0.5365,0.0157,0.0674,0.133,0.0377,,,,,0.0,none,bf245e222f578c311b4f6218f35895ced52a2e14934aaa4adc508185d6f9f536,9b8c9070891f63f7b1d7924fa1e5c3b709b17bc8f6ff4241c87f78bbcd2caef5,1.9471,0.0,1.9471,0.0903,0.0,0.0903
Cora,GCN,none,{},5000,0.81,0.00144,0.0,0.8686,0.8585,0.9799,0.0317,0.1118,0.0209,0.0595,0.0107,0.5761,0.5669,0.0112,0.0561,0.1551,0.5527,0.5245,0.0166,0.0452,0.1274,0.5655,0.5572,0.0129,0.0582,0.1247,0.5321,0.518,0.0,0.0,0.071,0.6235,0.5527,0.5245,0.0166,0.0452,0.1274,0.0348,,,,,0.0,none,a751d7cbebbacecf9bd5561930d1b42a05a346f1542a011ff6fb740788b0106e,5086cdceec401a8c1a243fc3a4002cae761be01b8e7b5319e3d99cad0383eb14,1.9286,0.0,1.9286,0.1104,0.0,0.1104
Cora,GCN,none,{},7777,0.81,0.00144,0.0,0.8627,0.8518,0.9813,0.0277,0.0989,0.0209,0.0649,0.0068,0.5745,0.5799,0.0073,0.0417,0.1568,0.5728,0.5402,0.0129,0.0739,0.1514,0.5703,0.5716,0.0092,0.0582,0.1533,0.5371,0.506,0.0,0.0,0.101,0.572,0.5728,0.5402,0.0129,0.0739,0.1514,0.0414,,,,,0.0,none,3cda7c6128b30e3fe424684c0994461a0a93c80491fd7d3d323f99b1cb4b28ce,84cf0f5b2838ef87320a848bcc081269673cdd2e8e69c56018554bf6554b119b,1.932,0.0,1.932,0.0888,0.0,0.0888
Cora,GCN,none,{},9999,0.81,0.00144,0.0,0.876,0.8696,0.982,0.0357,0.1263,0.0212,0.063,0.0145,0.5879,0.5789,0.0095,0.0643,0.1823,0.5814,0.5402,0.012,0.0545,0.1588,0.5704,0.5729,0.0194,0.0748,0.1468,0.5557,0.533,0.0,0.0,0.096,0.612,0.5814,0.5402,0.012,0.0545,0.1588,0.0367,,,,,0.0,none,23456b86a78ed180f34371e98d16a927c6e1cc700cbbd490f5dc2b098df1be62,a7fef810edb09c651f8510729016b7b0b1e85941dfab6eaa940e02fd25f056b7,1.9418,0.0,1.9418,0.0964,0.0,0.0964
