dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,phase
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.25, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.81,0.00144,0.8864,0.9926,0.1062,0.8812,0.9605,0.5833,0.554,0.5685,0.5346,0.0,0.0,0.5531,0.5531,0.5646,0.5577,,,0.5197,0.5125,0.0083,0.012,0.1035,4.1095,1,,select
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.25, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,06e54a47c487,0.81,0.00144,0.8735,0.9954,0.1219,0.8601,0.9581,0.5795,0.5494,0.5715,0.542,0.0,0.0148,0.5609,0.5609,0.5803,0.5494,,,0.5233,0.5175,0.0083,0.012,0.0903,2.7151,1,,select
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.81,0.00144,0.8781,0.9769,0.0988,0.8695,0.9551,0.5681,0.5531,0.5617,0.5346,0.0,0.0,0.5494,0.5494,0.5594,0.554,,,0.5192,0.512,0.0092,0.0148,0.1289,2.3647,1,,select
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,06e54a47c487,0.81,0.00144,0.8717,0.9861,0.1145,0.8589,0.9491,0.5733,0.5466,0.566,0.5392,0.0,0.0157,0.5572,0.5572,0.5718,0.5512,,,0.5191,0.5115,0.0102,0.012,0.1233,2.4126,1,,select
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.25, ""budget_B"": 80.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.81,0.00144,0.8873,0.9982,0.1108,0.8822,0.9624,0.5897,0.5633,0.5716,0.5374,0.0,0.0,0.5554,0.5554,0.5677,0.5633,,,0.5217,0.518,0.0074,0.0102,0.0885,2.4433,1,,select
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.25, ""budget_B"": 80.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,06e54a47c487,0.81,0.00144,0.8744,0.9954,0.121,0.8615,0.9593,0.5823,0.5503,0.5735,0.5411,0.0,0.0148,0.5605,0.5605,0.5804,0.5531,,,0.5277,0.5208,0.0083,0.0148,0.0788,2.5876,1,,select
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 80.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.81,0.00144,0.8873,0.9982,0.1108,0.8822,0.9624,0.5897,0.5633,0.5716,0.5374,0.0,0.0,0.5554,0.5554,0.5677,0.5633,,,0.5217,0.518,0.0074,0.0102,0.0885,2.5452,1,,select
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 80.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,06e54a47c487,0.81,0.00144,0.8744,0.9954,0.121,0.8615,0.9593,0.5823,0.5503,0.5735,0.5411,0.0,0.0148,0.5605,0.5605,0.5819,0.5485,,,0.5276,0.5208,0.0083,0.0148,0.0788,2.9745,1,,select
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.25, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.81,0.00144,0.8873,0.9926,0.1053,0.8826,0.9599,0.5803,0.5531,0.5657,0.5328,0.0,0.0,0.5526,0.5526,0.5619,0.5577,,,0.521,0.5157,0.0083,0.012,0.1025,2.5733,1,,select
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.25, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,06e54a47c487,0.81,0.00144,0.8753,0.9945,0.1191,0.8634,0.9589,0.5798,0.5476,0.5698,0.5392,0.0,0.0148,0.5596,0.5596,0.5806,0.5522,,,0.5258,0.5189,0.0092,0.0148,0.0899,2.5187,1,,select
