dataset,n_nodes,homophily,density,seed,n_shadows,acc,lira,tpr01,train_s,defense
Cora,2708,0.81,0.00144,42,4,0.8809,0.5663,0.0397,1.2639,none
Cora,2708,0.81,0.00144,123,4,0.8707,0.5776,0.0323,1.7035,none
Cora,2708,0.81,0.00144,456,4,0.8846,0.5587,0.0268,1.7109,none
Citeseer,3327,0.7355,0.000823,42,4,0.7408,0.5833,0.0316,3.5362,none
Citeseer,3327,0.7355,0.000823,123,4,0.7431,0.595,0.0406,3.3803,none
Citeseer,3327,0.7355,0.000823,456,4,0.7476,0.5953,0.0548,3.5472,none
PubMed,19717,0.8024,0.000228,42,4,0.8795,0.504,0.0123,5.9502,none
PubMed,19717,0.8024,0.000228,123,4,0.8779,0.5056,0.0128,5.778,none
PubMed,19717,0.8024,0.000228,456,4,0.8705,0.5063,0.01,5.6713,none
Actor,7600,0.2188,0.00052,42,4,0.327,0.6159,0.0303,3.4186,none
Actor,7600,0.2188,0.00052,123,4,0.3414,0.5983,0.0349,3.6736,none
Actor,7600,0.2188,0.00052,456,4,0.3375,0.6151,0.0444,2.5449,none
Computers,13752,0.7772156000137329,0.0026002762758509,42,4,0.7022,0.4962,0.0064,90.2223379611969,none
Computers,13752,0.7772156000137329,0.0026002762758509,123,4,0.7113,0.5011,0.0105,100.70348811149596,none
Computers,13752,0.7772156000137329,0.0026002762758509,456,4,0.6946,0.4965,0.0107,71.12764382362366,none
Photo,7650,0.8272436261177063,0.0040701121168387,42,4,0.8584967320261437,0.5046799307958478,0.0081699346405228,32.31373596191406,none
Photo,7650,0.8272436261177063,0.0040701121168387,123,4,0.8918300653594772,0.4906617647058824,0.0137254901960784,32.185598850250244,none
Photo,7650,0.8272436261177063,0.0040701121168387,456,4,0.7251633986928104,0.5036213101798453,0.0088235294117647,34.290132999420166,none
ogbn-arxiv,169343,,,42,4,0.6629,0.5049,,,none
ogbn-arxiv,169343,,,123,4,0.6661,0.5013,,,none
ogbn-arxiv,169343,,,456,4,0.6691,0.5028,,,none
