dataset,n_nodes,homophily,density,seed,n_shadows,acc,lira,tpr01,train_s,defense,family,hetero
Cora,2708,0.81,0.00144,42,4,0.8809,0.5663,0.0397,1.2639,none,off_shelf,False
Cora,2708,0.81,0.00144,123,4,0.8707,0.5776,0.0323,1.7035,none,off_shelf,False
Cora,2708,0.81,0.00144,456,4,0.8846,0.5587,0.0268,1.7109,none,off_shelf,False
Citeseer,3327,0.7355,0.000823,42,4,0.7408,0.5833,0.0316,3.5362,none,off_shelf,False
Citeseer,3327,0.7355,0.000823,123,4,0.7431,0.595,0.0406,3.3803,none,off_shelf,False
Citeseer,3327,0.7355,0.000823,456,4,0.7476,0.5953,0.0548,3.5472,none,off_shelf,False
PubMed,19717,0.8024,0.000228,42,4,0.8795,0.504,0.0123,5.9502,none,off_shelf,False
PubMed,19717,0.8024,0.000228,123,4,0.8779,0.5056,0.0128,5.778,none,off_shelf,False
PubMed,19717,0.8024,0.000228,456,4,0.8705,0.5063,0.01,5.6713,none,off_shelf,False
Actor,7600,0.2188,0.00052,42,4,0.327,0.6159,0.0303,3.4186,none,off_shelf,True
Actor,7600,0.2188,0.00052,123,4,0.3414,0.5983,0.0349,3.6736,none,off_shelf,True
Actor,7600,0.2188,0.00052,456,4,0.3375,0.6151,0.0444,2.5449,none,off_shelf,True
Computers,13752,0.7772156000137329,0.0026002762758509,42,4,0.7022,0.4962,0.0064,90.2223379611969,none,off_shelf,False
Computers,13752,0.7772156000137329,0.0026002762758509,123,4,0.7113,0.5011,0.0105,100.70348811149596,none,off_shelf,False
Computers,13752,0.7772156000137329,0.0026002762758509,456,4,0.6946,0.4965,0.0107,71.12764382362366,none,off_shelf,False
Photo,7650,0.8272436261177063,0.0040701121168387,42,4,0.8584967320261437,0.5046799307958478,0.0081699346405228,32.31373596191406,none,off_shelf,False
Photo,7650,0.8272436261177063,0.0040701121168387,123,4,0.8918300653594772,0.4906617647058824,0.0137254901960784,32.185598850250244,none,off_shelf,False
Photo,7650,0.8272436261177063,0.0040701121168387,456,4,0.7251633986928104,0.5036213101798453,0.0088235294117647,34.290132999420166,none,off_shelf,False
ogbn-arxiv,169343,,,42,4,0.6629,0.5049,,,none,off_shelf,False
ogbn-arxiv,169343,,,123,4,0.6661,0.5013,,,none,off_shelf,False
ogbn-arxiv,169343,,,456,4,0.6691,0.5028,,,none,off_shelf,False
Chameleon,2277,0.235,0.006966,42,4,0.4402,0.6328,0.0571,5.9302,none,off_shelf,True
Chameleon,2277,0.235,0.006966,123,4,0.4643,0.6052,0.056,8.9238,none,off_shelf,True
Chameleon,2277,0.235,0.006966,456,4,0.438,0.6153,0.0637,7.0549,none,off_shelf,True
Chameleon,2277,0.235,0.006966,789,4,0.4786,0.64,0.0735,8.0306,none,off_shelf,True
Chameleon,2277,0.235,0.006966,1024,4,0.4215,0.6192,0.0571,10.5521,none,off_shelf,True
ogbn-5k,5000,0.6860465407371521,3.784756951390278e-05,42,4,0.4185,0.5094045,0.0125,1.6025609970092771,none,subsample,False
ogbn-5k,5000,0.7086482048034668,4.760952190438087e-05,123,4,0.4285,0.502507875,0.0055,1.644350290298462,none,subsample,False
ogbn-5k,5000,0.6403326392173767,3.8487697539507904e-05,456,4,0.423,0.50919875,0.011,1.567044019699097,none,subsample,False
ogbn-10k,10000,0.6752896904945374,3.710371037103711e-05,42,4,0.44625,0.5037211875000001,0.01075,4.132518768310547,none,subsample,False
ogbn-10k,10000,0.6818290948867798,4.154415441544154e-05,123,4,0.45125,0.496386625,0.01725,3.3118340969085693,none,subsample,False
ogbn-10k,10000,0.6433084607124329,3.482348234823482e-05,456,4,0.4375,0.504420375,0.01275,3.2565410137176514,none,subsample,False
ogbn-20k,20000,0.6695880889892578,3.993699684984249e-05,42,4,0.45675,0.5020937968750001,0.010375,6.7183849811553955,none,subsample,False
ogbn-20k,20000,0.6623167395591736,4.348717435871793e-05,123,4,0.45775,0.504305796875,0.01275,6.641113996505737,none,subsample,False
ogbn-20k,20000,0.656136155128479,3.569178458922946e-05,456,4,0.45525,0.504054328125,0.009875,6.505523920059204,none,subsample,False
ogbn-50k,50000,0.6707484722137451,3.991759835196704e-05,42,4,0.47815,0.50127972,0.0105,18.217171907424927,none,subsample,False
ogbn-50k,50000,0.6584364175796509,4.1684033680673616e-05,123,4,0.4831,0.4997800374999999,0.0095,18.933500289916992,none,subsample,False
ogbn-50k,50000,0.6438145041465759,3.891757835156703e-05,456,4,0.4808,0.495693205,0.0089,21.305453062057495,none,subsample,False
