dataset,model,defense,seed,homophily,density,feature_snr,h_target,rho_target,conf_attack_auc,test_accuracy,is_gcn
synth_h0.2_r0.005_snr0.25,GCN,none,42,0.19799499213695526,0.005,0.25,0.2,0.005,0.680644656548271,0.5875,1.0
synth_h0.2_r0.005_snr0.25,GCN,none,123,0.19799499213695526,0.005,0.25,0.2,0.005,0.726803317164763,0.60625,1.0
synth_h0.2_r0.005_snr0.25,GraphSAGE,none,42,0.19799499213695526,0.005,0.25,0.2,0.005,0.7382256297918949,0.9625,0.0
synth_h0.2_r0.005_snr0.25,GraphSAGE,none,123,0.19799499213695526,0.005,0.25,0.2,0.005,0.7836019402284462,0.95,0.0
synth_h0.2_r0.005_snr1.0,GCN,none,42,0.19799499213695526,0.005,1.0,0.2,0.005,0.5839461743076201,0.76875,1.0
synth_h0.2_r0.005_snr1.0,GCN,none,123,0.19799499213695526,0.005,1.0,0.2,0.005,0.5703332811766547,0.8125,1.0
synth_h0.2_r0.005_snr1.0,GraphSAGE,none,42,0.19799499213695526,0.005,1.0,0.2,0.005,0.5637615396651541,1.0,0.0
synth_h0.2_r0.005_snr1.0,GraphSAGE,none,123,0.19799499213695526,0.005,1.0,0.2,0.005,0.5967767172586449,1.0,0.0
synth_h0.2_r0.005_snr2.5,GCN,none,42,0.19799499213695526,0.005,2.5,0.2,0.005,0.5429510248787357,0.775,1.0
synth_h0.2_r0.005_snr2.5,GCN,none,123,0.19799499213695526,0.005,2.5,0.2,0.005,0.5266781411359724,0.85,1.0
synth_h0.2_r0.005_snr2.5,GraphSAGE,none,42,0.19799499213695526,0.005,2.5,0.2,0.005,0.38828039430449063,1.0,0.0
synth_h0.2_r0.005_snr2.5,GraphSAGE,none,123,0.19799499213695526,0.005,2.5,0.2,0.005,0.5526521671099984,1.0,0.0
synth_h0.2_r0.01_snr0.25,GCN,none,42,0.19924812018871307,0.01,0.25,0.2,0.01,0.683617587232045,0.5625,1.0
synth_h0.2_r0.01_snr0.25,GCN,none,123,0.19924812018871307,0.01,0.25,0.2,0.01,0.686590517915819,0.64375,1.0
synth_h0.2_r0.01_snr0.25,GraphSAGE,none,42,0.19924812018871307,0.01,0.25,0.2,0.01,0.6991081207948678,0.95625,0.0
synth_h0.2_r0.01_snr0.25,GraphSAGE,none,123,0.19924812018871307,0.01,0.25,0.2,0.01,0.7696761070255047,0.95,0.0
synth_h0.2_r0.01_snr1.0,GCN,none,42,0.19924812018871307,0.01,1.0,0.2,0.01,0.5611015490533562,0.79375,1.0
synth_h0.2_r0.01_snr1.0,GCN,none,123,0.19924812018871307,0.01,1.0,0.2,0.01,0.563605069629166,0.75,1.0
synth_h0.2_r0.01_snr1.0,GraphSAGE,none,42,0.19924812018871307,0.01,1.0,0.2,0.01,0.5933343764669067,1.0,0.0
synth_h0.2_r0.01_snr1.0,GraphSAGE,none,123,0.19924812018871307,0.01,1.0,0.2,0.01,0.5812861836958222,1.0,0.0
synth_h0.2_r0.01_snr2.5,GCN,none,42,0.19924812018871307,0.01,2.5,0.2,0.01,0.5595368486934752,0.81875,1.0
synth_h0.2_r0.01_snr2.5,GCN,none,123,0.19924812018871307,0.01,2.5,0.2,0.01,0.544828665310593,0.7375,1.0
synth_h0.2_r0.01_snr2.5,GraphSAGE,none,42,0.19924812018871307,0.01,2.5,0.2,0.01,0.5887967454232514,1.0,0.0
synth_h0.2_r0.01_snr2.5,GraphSAGE,none,123,0.19924812018871307,0.01,2.5,0.2,0.01,0.5894226255672039,1.0,0.0
synth_h0.2_r0.02_snr0.25,GCN,none,42,0.19987468421459198,0.02,0.25,0.2,0.02,0.6052260992020029,0.64375,1.0
synth_h0.2_r0.02_snr0.25,GCN,none,123,0.19987468421459198,0.02,0.25,0.2,0.02,0.6321389453919575,0.59375,1.0
synth_h0.2_r0.02_snr0.25,GraphSAGE,none,42,0.19987468421459198,0.02,0.25,0.2,0.02,0.6879987482397121,0.98125,0.0
synth_h0.2_r0.02_snr0.25,GraphSAGE,none,123,0.19987468421459198,0.02,0.25,0.2,0.02,0.7131904240337976,0.975,0.0
synth_h0.2_r0.02_snr1.0,GCN,none,42,0.19987468421459198,0.02,1.0,0.2,0.02,0.517446409012674,0.7625,1.0
synth_h0.2_r0.02_snr1.0,GCN,none,123,0.19987468421459198,0.02,1.0,0.2,0.02,0.5003911750899702,0.83125,1.0
synth_h0.2_r0.02_snr1.0,GraphSAGE,none,42,0.19987468421459198,0.02,1.0,0.2,0.02,0.5369269284931935,1.0,0.0
