dataset,model,defense,mean_none,mean_defense,diff,p_value
Citeseer,GCN,dropedge,0.6322399999999999,0.63294,0.0007000000000000339,0.8026495322848151
Citeseer,GCN,label_smoothing,0.6322399999999999,0.6489,0.016660000000000008,0.030398007398212787
Citeseer,GCN,early_stopping,0.6322399999999999,0.6322399999999999,0.0,
Citeseer,GCN,confidence_masking,0.6322399999999999,0.62282,-0.009419999999999984,0.17162149916396596
Citeseer,GCN,edge_sparsification,0.6322399999999999,0.6471600000000001,0.014920000000000022,0.0038410764958519425
Citeseer,GraphSAGE,dropedge,0.7197799999999999,0.73482,0.01504000000000003,0.013687475682739774
Citeseer,GraphSAGE,label_smoothing,0.7197799999999999,0.7863,0.06652000000000002,3.117791053740729e-06
Citeseer,GraphSAGE,early_stopping,0.7197799999999999,0.73096,0.011180000000000034,0.009820906109030981
Citeseer,GraphSAGE,confidence_masking,0.7197799999999999,0.7215,0.0017200000000000327,0.043321777487432225
Citeseer,GraphSAGE,edge_sparsification,0.7197799999999999,0.7235,0.0037200000000000345,0.1454591453322431
Cora,GCN,dropedge,0.55394,0.5593199999999999,0.005379999999999985,0.6528344555256043
Cora,GCN,label_smoothing,0.55394,0.59302,0.039080000000000004,0.0038699480374870757
Cora,GCN,early_stopping,0.55394,0.55394,0.0,
Cora,GCN,confidence_masking,0.55394,0.55974,0.005800000000000005,0.06293489370101135
Cora,GCN,edge_sparsification,0.55394,0.5715999999999999,0.017659999999999964,0.2084998784967005
Cora,GraphSAGE,dropedge,0.63522,0.6672800000000001,0.03206,0.0006727217712827271
Cora,GraphSAGE,label_smoothing,0.63522,0.6889799999999999,0.05376000000000003,9.546690788674415e-05
Cora,GraphSAGE,early_stopping,0.63522,0.63644,0.0012199999999999989,0.19458858822997357
Cora,GraphSAGE,confidence_masking,0.63522,0.63522,0.0,1.0
Cora,GraphSAGE,edge_sparsification,0.63522,0.64428,0.009060000000000023,0.005727374405364907
synthetic_high_dense,GCN,dropedge,0.49428,0.50122,0.006940000000000002,0.17064536712672754
synthetic_high_dense,GCN,label_smoothing,0.49428,0.50776,0.013479999999999982,0.12131400968697231
synthetic_high_dense,GCN,early_stopping,0.49428,0.49438000000000004,0.00010000000000001119,0.9163130535513541
synthetic_high_dense,GCN,confidence_masking,0.49428,0.49518000000000006,0.0009000000000000008,0.10253293723284547
synthetic_high_dense,GCN,edge_sparsification,0.49428,0.48932000000000003,-0.004959999999999997,0.7114097002107462
synthetic_high_dense,GraphSAGE,dropedge,0.5087,0.5235799999999999,0.014879999999999994,0.4964410058713491
synthetic_high_dense,GraphSAGE,label_smoothing,0.5087,0.5135,0.004799999999999971,0.8886859407828366
synthetic_high_dense,GraphSAGE,early_stopping,0.5087,0.5202,0.0115,0.6264848033506586
synthetic_high_dense,GraphSAGE,confidence_masking,0.5087,0.5140399999999999,0.00534,0.16195132008955831
synthetic_high_dense,GraphSAGE,edge_sparsification,0.5087,0.5192,0.010499999999999987,0.43429011586708943
synthetic_high_medium,GCN,dropedge,0.48728,0.48506,-0.0022199999999999776,0.8849564412672066
synthetic_high_medium,GCN,label_smoothing,0.48728,0.48568,-0.0016000000000000014,0.9431499193086658
synthetic_high_medium,GCN,early_stopping,0.48728,0.50474,0.017459999999999996,0.3077587187693164
synthetic_high_medium,GCN,confidence_masking,0.48728,0.50298,0.015700000000000002,0.35253529922894355
synthetic_high_medium,GCN,edge_sparsification,0.48728,0.5097,0.022419999999999995,0.5262848606331643
synthetic_high_medium,GraphSAGE,dropedge,0.52626,0.5078400000000001,-0.01841999999999998,0.1603121866045141
synthetic_high_medium,GraphSAGE,label_smoothing,0.52626,0.53802,0.011760000000000003,0.3776811090882106
synthetic_high_medium,GraphSAGE,early_stopping,0.52626,0.52442,-0.001839999999999975,0.9092651579787205
synthetic_high_medium,GraphSAGE,confidence_masking,0.52626,0.51772,-0.008539999999999992,0.2058805303960615
synthetic_high_medium,GraphSAGE,edge_sparsification,0.52626,0.51024,-0.01601999999999998,0.15076841526191911
synthetic_high_sparse,GCN,dropedge,0.5279,0.5373,0.009400000000000009,0.6062313645978292
synthetic_high_sparse,GCN,label_smoothing,0.5279,0.52972,0.0018199999999999994,0.8745532170576966
synthetic_high_sparse,GCN,early_stopping,0.5279,0.5114,-0.016500000000000004,0.5580283737573178
synthetic_high_sparse,GCN,confidence_masking,0.5279,0.5143000000000001,-0.013599999999999978,0.357866806836776
synthetic_high_sparse,GCN,edge_sparsification,0.5279,0.5543800000000001,0.026480000000000014,0.3945276619173748
synthetic_high_sparse,GraphSAGE,dropedge,0.53896,0.53416,-0.004800000000000015,0.8633858308899843
synthetic_high_sparse,GraphSAGE,label_smoothing,0.53896,0.5774,0.03843999999999999,0.20563236884811992
synthetic_high_sparse,GraphSAGE,early_stopping,0.53896,0.546,0.0070399999999999794,0.6104724874039318
synthetic_high_sparse,GraphSAGE,confidence_masking,0.53896,0.54012,0.0011599999999999944,0.5643859368376283
synthetic_high_sparse,GraphSAGE,edge_sparsification,0.53896,0.54036,0.001399999999999968,0.9679536764411617
synthetic_low_dense,GCN,dropedge,0.51124,0.5151199999999999,0.0038799999999999946,0.7931720283629723
synthetic_low_dense,GCN,label_smoothing,0.51124,0.5209,0.009660000000000002,0.43852089228775226
synthetic_low_dense,GCN,early_stopping,0.51124,0.5126999999999999,0.0014599999999999947,0.373900966300059
synthetic_low_dense,GCN,confidence_masking,0.51124,0.49850000000000005,-0.012740000000000007,0.6510638223864267
synthetic_low_dense,GCN,edge_sparsification,0.51124,0.54728,0.03603999999999998,0.27563509902868516
synthetic_low_dense,GraphSAGE,dropedge,0.5102,0.5062599999999999,-0.003940000000000022,0.815641546572008
synthetic_low_dense,GraphSAGE,label_smoothing,0.5102,0.5114799999999999,0.0012799999999999923,0.9699701036325572
synthetic_low_dense,GraphSAGE,early_stopping,0.5102,0.51466,0.004460000000000008,0.7193572353223892
synthetic_low_dense,GraphSAGE,confidence_masking,0.5102,0.50178,-0.008419999999999993,0.12105468622445159
synthetic_low_dense,GraphSAGE,edge_sparsification,0.5102,0.5204599999999999,0.010260000000000002,0.5793673567072837
synthetic_low_medium,GCN,dropedge,0.5626999999999999,0.53952,-0.02318,0.05508961378622347
synthetic_low_medium,GCN,label_smoothing,0.5626999999999999,0.56404,0.0013400000000000079,0.8495186716614636
synthetic_low_medium,GCN,early_stopping,0.5626999999999999,0.5626999999999999,0.0,
synthetic_low_medium,GCN,confidence_masking,0.5626999999999999,0.55708,-0.005620000000000003,0.5175669832307865
synthetic_low_medium,GCN,edge_sparsification,0.5626999999999999,0.5637800000000001,0.0010800000000000143,0.9684457412385588
synthetic_low_medium,GraphSAGE,dropedge,0.53392,0.51086,-0.02305999999999998,0.4785498467140845
synthetic_low_medium,GraphSAGE,label_smoothing,0.53392,0.5593199999999999,0.025400000000000023,0.026666010429156468
synthetic_low_medium,GraphSAGE,early_stopping,0.53392,0.53392,0.0,
synthetic_low_medium,GraphSAGE,confidence_masking,0.53392,0.50912,-0.024799999999999968,0.36047931906679315
synthetic_low_medium,GraphSAGE,edge_sparsification,0.53392,0.54426,0.010340000000000016,0.2182051653539677
synthetic_low_sparse,GCN,dropedge,0.59196,0.58388,-0.008080000000000021,0.7581414955976402
synthetic_low_sparse,GCN,label_smoothing,0.59196,0.59996,0.008000000000000007,0.47908947676763763
synthetic_low_sparse,GCN,early_stopping,0.59196,0.59196,0.0,
synthetic_low_sparse,GCN,confidence_masking,0.59196,0.59556,0.0036000000000000034,0.6152104584757434
synthetic_low_sparse,GCN,edge_sparsification,0.59196,0.5871999999999999,-0.0047599999999999865,0.8201496165197611
synthetic_low_sparse,GraphSAGE,dropedge,0.51992,0.52196,0.002039999999999975,0.9360786604319743
synthetic_low_sparse,GraphSAGE,label_smoothing,0.51992,0.61406,0.09413999999999997,0.04206884424388238
synthetic_low_sparse,GraphSAGE,early_stopping,0.51992,0.53738,0.017459999999999986,0.45569443725830516
