dataset,model,defense,mean_none,mean_defense,diff,p_value
Citeseer,GCN,dropedge,,,,
Citeseer,GCN,label_smoothing,,,,
Citeseer,GCN,early_stopping,,,,
Citeseer,GCN,confidence_masking,,,,
Citeseer,GCN,edge_sparsification,,,,
Citeseer,GraphSAGE,dropedge,,,,
Citeseer,GraphSAGE,label_smoothing,,,,
Citeseer,GraphSAGE,early_stopping,,,,
Citeseer,GraphSAGE,confidence_masking,,,,
Citeseer,GraphSAGE,edge_sparsification,,,,
Cora,GCN,dropedge,,,,
Cora,GCN,label_smoothing,,,,
Cora,GCN,early_stopping,,,,
Cora,GCN,confidence_masking,,,,
Cora,GCN,edge_sparsification,,,,
Cora,GraphSAGE,dropedge,,,,
Cora,GraphSAGE,label_smoothing,,,,
Cora,GraphSAGE,early_stopping,,,,
Cora,GraphSAGE,confidence_masking,,,,
Cora,GraphSAGE,edge_sparsification,,,,
synthetic_high_dense,GCN,dropedge,,,,
synthetic_high_dense,GCN,label_smoothing,,,,
synthetic_high_dense,GCN,early_stopping,,,,
synthetic_high_dense,GCN,confidence_masking,,,,
synthetic_high_dense,GCN,edge_sparsification,,,,
synthetic_high_dense,GraphSAGE,dropedge,,,,
synthetic_high_dense,GraphSAGE,label_smoothing,,,,
synthetic_high_dense,GraphSAGE,early_stopping,,,,
synthetic_high_dense,GraphSAGE,confidence_masking,,,,
synthetic_high_dense,GraphSAGE,edge_sparsification,,,,
synthetic_high_medium,GCN,dropedge,,,,
synthetic_high_medium,GCN,label_smoothing,,,,
synthetic_high_medium,GCN,early_stopping,,,,
synthetic_high_medium,GCN,confidence_masking,,,,
synthetic_high_medium,GCN,edge_sparsification,,,,
synthetic_high_medium,GraphSAGE,dropedge,,,,
synthetic_high_medium,GraphSAGE,label_smoothing,,,,
synthetic_high_medium,GraphSAGE,early_stopping,,,,
synthetic_high_medium,GraphSAGE,confidence_masking,,,,
synthetic_high_medium,GraphSAGE,edge_sparsification,,,,
synthetic_high_sparse,GCN,dropedge,,,,
synthetic_high_sparse,GCN,label_smoothing,,,,
synthetic_high_sparse,GCN,early_stopping,,,,
synthetic_high_sparse,GCN,confidence_masking,,,,
synthetic_high_sparse,GCN,edge_sparsification,,,,
synthetic_high_sparse,GraphSAGE,dropedge,,,,
synthetic_high_sparse,GraphSAGE,label_smoothing,,,,
synthetic_high_sparse,GraphSAGE,early_stopping,,,,
synthetic_high_sparse,GraphSAGE,confidence_masking,,,,
synthetic_high_sparse,GraphSAGE,edge_sparsification,,,,
synthetic_low_dense,GCN,dropedge,,,,
synthetic_low_dense,GCN,label_smoothing,,,,
synthetic_low_dense,GCN,early_stopping,,,,
synthetic_low_dense,GCN,confidence_masking,,,,
synthetic_low_dense,GCN,edge_sparsification,,,,
synthetic_low_dense,GraphSAGE,dropedge,,,,
synthetic_low_dense,GraphSAGE,label_smoothing,,,,
synthetic_low_dense,GraphSAGE,early_stopping,,,,
synthetic_low_dense,GraphSAGE,confidence_masking,,,,
synthetic_low_dense,GraphSAGE,edge_sparsification,,,,
synthetic_low_medium,GCN,dropedge,,,,
synthetic_low_medium,GCN,label_smoothing,,,,
synthetic_low_medium,GCN,early_stopping,,,,
synthetic_low_medium,GCN,confidence_masking,,,,
synthetic_low_medium,GCN,edge_sparsification,,,,
synthetic_low_medium,GraphSAGE,dropedge,,,,
synthetic_low_medium,GraphSAGE,label_smoothing,,,,
synthetic_low_medium,GraphSAGE,early_stopping,,,,
synthetic_low_medium,GraphSAGE,confidence_masking,,,,
synthetic_low_medium,GraphSAGE,edge_sparsification,,,,
synthetic_low_sparse,GCN,dropedge,,,,
synthetic_low_sparse,GCN,label_smoothing,,,,
synthetic_low_sparse,GCN,early_stopping,,,,
synthetic_low_sparse,GCN,confidence_masking,,,,
synthetic_low_sparse,GCN,edge_sparsification,,,,
synthetic_low_sparse,GraphSAGE,dropedge,,,,
synthetic_low_sparse,GraphSAGE,label_smoothing,,,,
synthetic_low_sparse,GraphSAGE,early_stopping,,,,
synthetic_low_sparse,GraphSAGE,confidence_masking,,,,
synthetic_low_sparse,GraphSAGE,edge_sparsification,,,,
