dataset,model,defense,defense_params,n_seeds,test_accuracy,test_f1,shadow_attack_auc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,conf_attack_auc,conf_attack_tpr01,label_only_attack_auc,label_only_attack_tpr01,test_accuracy_p_val,test_accuracy_fdr_q_val,test_f1_p_val,test_f1_fdr_q_val,shadow_attack_auc_p_val,shadow_attack_auc_fdr_q_val,shadow_attack_tpr01_p_val,shadow_attack_tpr01_fdr_q_val,shadow_attack_tpr05_p_val,shadow_attack_tpr05_fdr_q_val,shadow_attack_adv_p_val,shadow_attack_adv_fdr_q_val,conf_attack_auc_p_val,conf_attack_auc_fdr_q_val,conf_attack_tpr01_p_val,conf_attack_tpr01_fdr_q_val,label_only_attack_auc_p_val,label_only_attack_auc_fdr_q_val,label_only_attack_tpr01_p_val,label_only_attack_tpr01_fdr_q_val
Citeseer,GCN,dropedge,"{""rate"": 0.1}",10,"0.7174 (0.7130, 0.7223)","0.6853 (0.6798, 0.6909)","0.6590 (0.6522, 0.6673)","0.0182 (0.0138, 0.0234)","0.0808 (0.0732, 0.0886)","0.2838 (0.2732, 0.2945)","0.6396 (0.6258, 0.6525)","0.0110 (0.0084, 0.0135)","0.5646 (0.5562, 0.5721)","0.0000 (0.0000, 0.0000)",0.6700126601532712,0.7577524132685806,0.13846700439592804,0.2702951798139691,0.23110550279526942,0.31967897743486606,0.9090434882814232,0.9572117485424074,0.7383638663402525,0.8716024587625538,0.013648095355655773,0.024488582523862358,0.011338140937458472,0.025612778808359427,0.06833131494847962,0.3399603377447811,0.20364917130916257,0.33655705153198445,,
Citeseer,GCN,dropedge,"{""rate"": 0.2}",10,"0.7197 (0.7145, 0.7253)","0.6871 (0.6813, 0.6928)","0.6614 (0.6550, 0.6688)","0.0186 (0.0162, 0.0212)","0.0780 (0.0734, 0.0822)","0.2829 (0.2743, 0.2930)","0.6426 (0.6294, 0.6562)","0.0118 (0.0085, 0.0148)","0.5688 (0.5572, 0.5812)","0.0000 (0.0000, 0.0000)",0.49505639120745043,0.6355453670906459,0.6780230840351161,0.7729463158000324,0.07266356309967544,0.11581908027054867,0.7206407269097437,0.8629148171560757,0.6577914101960177,0.8204395006877949,0.011509547821532509,0.02125881185859534,0.0038822221923533046,0.009598565105503446,0.04522784393266994,0.3399603377447811,0.03308545789085086,0.08446206323355422,,
Citeseer,GCN,dropedge,"{""rate"": 0.3}",10,"0.7212 (0.7165, 0.7259)","0.6891 (0.6837, 0.6940)","0.6633 (0.6565, 0.6708)","0.0209 (0.0186, 0.0230)","0.0827 (0.0804, 0.0851)","0.2844 (0.2744, 0.2957)","0.6437 (0.6308, 0.6575)","0.0113 (0.0087, 0.0142)","0.5689 (0.5587, 0.5789)","0.0000 (0.0000, 0.0000)",0.2917504604303173,0.46976769052339235,0.7238989108027702,0.7914584246044215,0.019212740467931314,0.03507698636805775,0.27244812741386576,0.6054981460200438,0.37710892199489926,0.6652370871145975,0.17513881475601703,0.2380674797982223,0.001255378047017296,0.0038377034788451233,0.17231219299486086,0.45358387052452037,0.003278744953427576,0.013546393623371827,,
Citeseer,GCN,dropedge,"{""rate"": 0.5}",10,"0.7255 (0.7197, 0.7310)","0.6923 (0.6870, 0.6973)","0.6641 (0.6571, 0.6717)","0.0209 (0.0176, 0.0246)","0.0774 (0.0711, 0.0835)","0.2777 (0.2685, 0.2884)","0.6448 (0.6323, 0.6572)","0.0127 (0.0099, 0.0152)","0.5704 (0.5606, 0.5799)","0.0000 (0.0000, 0.0000)",0.00803537024982643,0.03418030628657511,0.10591379162643134,0.2321956201040995,0.027367920059812673,0.04855099942814226,0.16319843710414025,0.5006227194013174,0.6116135217275787,0.8035424511399988,0.00249975040099118,0.005376175519939935,0.00037397413339959086,0.0013654404405519945,0.04818108221571585,0.3399603377447811,0.0001145866957636567,0.0012444381002063023,,
Citeseer,GCN,edge_sparsification,"{""rate"": 0.05}",10,"0.7173 (0.7123, 0.7218)","0.6861 (0.6813, 0.6907)","0.6536 (0.6467, 0.6606)","0.0150 (0.0119, 0.0181)","0.0733 (0.0646, 0.0817)","0.2900 (0.2791, 0.3014)","0.6397 (0.6254, 0.6554)","0.0158 (0.0113, 0.0214)","0.5619 (0.5529, 0.5695)","0.0000 (0.0000, 0.0000)",0.6449659979311213,0.7368994387870585,0.3993072149832231,0.5497708032377708,0.42378518497041323,0.49652443313697664,0.32357529916077843,0.6589208148677645,0.34076934465795466,0.6445877965216733,0.643295129638683,0.7087532305492859,0.06984361866551331,0.12750521081959987,0.03170745613725107,0.3399603377447811,0.9558167117173019,0.9650368086148965,,
Citeseer,GCN,edge_sparsification,"{""rate"": 0.1}",10,"0.7158 (0.7103, 0.7207)","0.6853 (0.6801, 0.6904)","0.6570 (0.6499, 0.6648)","0.0140 (0.0113, 0.0165)","0.0756 (0.0699, 0.0807)","0.2962 (0.2864, 0.3066)","0.6440 (0.6315, 0.6582)","0.0106 (0.0078, 0.0140)","0.5661 (0.5567, 0.5742)","0.0000 (0.0000, 0.0000)",0.3567630892437316,0.5152095667443376,0.357420270105515,0.5155619635881195,0.7203007872739414,0.7853279416806167,0.24882351006043563,0.6054981460200438,0.4662277987774947,0.734172782254382,0.02936449304650269,0.048952225221421494,0.0011804676091422244,0.0037823145843944744,0.46259873653558764,0.720365196694721,0.23426747286542834,0.3677999323987225,,
Citeseer,GCN,edge_sparsification,"{""rate"": 0.2}",10,"0.7128 (0.7089, 0.7170)","0.6824 (0.6777, 0.6866)","0.6695 (0.6637, 0.6769)","0.0170 (0.0138, 0.0201)","0.0822 (0.0760, 0.0890)","0.3039 (0.2932, 0.3154)","0.6570 (0.6452, 0.6698)","0.0128 (0.0101, 0.0153)","0.5737 (0.5661, 0.5806)","0.0000 (0.0000, 0.0000)",0.05283126333322821,0.1364280455772924,0.04657689578722172,0.12642300285103036,0.0008785585562123757,0.0022428242817128944,0.7763994836335054,0.8943766214206054,0.46691610923770727,0.734172782254382,0.0024005301379600953,0.005198389402203241,3.425263180586797e-05,0.00017631682601709087,0.09449063863418723,0.35183339779159584,0.0028965828486605984,0.012127026859725705,,
Citeseer,GCN,edge_sparsification,"{""rate"": 0.3}",10,"0.7087 (0.7061, 0.7116)","0.6767 (0.6730, 0.6802)","0.6762 (0.6677, 0.6859)","0.0140 (0.0116, 0.0167)","0.0733 (0.0673, 0.0797)","0.3204 (0.3110, 0.3296)","0.6683 (0.6577, 0.6780)","0.0152 (0.0117, 0.0182)","0.5818 (0.5756, 0.5878)","0.0000 (0.0000, 0.0000)",0.0030004325059186233,0.016767122827192307,0.0009043890620623786,0.006706311267142353,0.0002342055283558259,0.0007003860562259936,0.03864283822078634,0.2468409870021658,0.22390232047214742,0.5207802120611429,2.4100501780365447e-06,1.4013995479693982e-05,9.071409473423612e-07,1.0955471440980825e-05,0.004066178346205199,0.15908922779527843,0.0003783350835870552,0.0028285051487222696,,
Citeseer,GCN,epsd_tuned,"{""lambda_epsd"": 0.01}",10,"0.7181 (0.7139, 0.7231)","0.6866 (0.6824, 0.6920)","0.6560 (0.6477, 0.6645)","0.0164 (0.0139, 0.0188)","0.0728 (0.0682, 0.0770)","0.2880 (0.2777, 0.2992)","0.6334 (0.6187, 0.6488)","0.0164 (0.0112, 0.0230)","0.5620 (0.5505, 0.5735)","0.0000 (0.0000, 0.0000)",0.9549622523908639,0.965121425288639,0.20114047980088626,0.35385825150155914,0.808738167822195,0.8521603513294269,0.3812107659325891,0.6818226842108595,0.0815441420002438,0.28137209437446764,0.4883466380877389,0.5658333740204798,0.45957423244942375,0.5706077739789641,0.055480230778464236,0.3399603377447811,0.8861914906878492,0.9183634589966491,,
Citeseer,GCN,epsd_tuned,"{""lambda_epsd"": 0.03}",10,"0.7191 (0.7142, 0.7251)","0.6874 (0.6827, 0.6927)","0.6544 (0.6455, 0.6635)","0.0152 (0.0125, 0.0185)","0.0703 (0.0649, 0.0759)","0.2874 (0.2761, 0.2981)","0.6327 (0.6198, 0.6469)","0.0130 (0.0102, 0.0153)","0.5598 (0.5478, 0.5712)","0.0000 (0.0000, 0.0000)",0.37307500285226286,0.5263681970935391,0.5007115682077686,0.6305916929794323,0.3079468569324829,0.3924568097052501,0.2404463719895656,0.6054981460200438,0.05434281465409055,0.2337485452244443,0.4492778240956271,0.5224934695038034,0.5626059344895727,0.6691600887489616,0.020745705550895385,0.32467029187151275,0.43314196062408417,0.5742322976957097,,
