dataset,model,defense,homophily_h,density_rho,n_nodes,split_protocol,acc,lira_auroc,conf_auroc,tpr_at_1pct_fpr,train_seconds,n_shadows,leakage_band,notes,api_qps
Cora,GraphSAGE,none,0.81,0.00144,2708,random_40_20_40,0.877,0.5667,0.6501,0.0325,0.84,4,moderate,,
Cora,GraphSAGE,sami,0.81,0.00144,2708,random_40_20_40,0.8735,0.5096,0.5625,0.0031,2.52,4,moderate_reduced,locked SAMI; LiRA primary flagship,
Cora,GraphSAGE,gtd,0.81,0.00144,2708,random_40_20_40,0.8759,0.5382,0.5847,0.0209,0.83,4,defended,,
Cora,GraphSAGE,lbp,0.81,0.00144,2708,random_40_20_40,0.701,0.6446,0.5787,0.0207,0.83,4,defended,,
Cora,GraphSAGE,maskarmor,0.81,0.00144,2708,random_40_20_40,0.877,0.5796,0.5622,0.0,0.94,4,defended,5-seed confirmatory (maskarmor_5seed.csv); matches paper Table,
PubMed,GraphSAGE,none,0.8,0.00028,19717,random_40_20_40,0.8746,0.5057,0.5087,0.0112,3.37,4,near_chance,negative control,
Actor,GraphSAGE,none,0.219,0.00052,7600,random_40_20_40,0.3347,0.6049,0.8754,0.0331,3.53,4,high,heterophilic; Acc low for all methods,
Actor,GraphSAGE,gtd,0.219,0.00052,7600,random_40_20_40,0.3391,0.5847,0.8469,0.0197,2.86,4,high,heterophilic; Acc low for all methods,
Actor,GraphSAGE,lbp,0.219,0.00052,7600,random_40_20_40,0.2888,0.5426,0.7366,0.0281,3.02,4,high,heterophilic; Acc low for all methods,
Actor,GraphSAGE,maskarmor,0.219,0.00052,7600,random_40_20_40,0.3347,0.7968,0.79,0.0,3.14,4,high,heterophilic; Acc low for all methods,
Actor,GraphSAGE,sami,0.219,0.00052,7600,random_40_20_40,0.3172,0.5516,0.7745,0.0313,9.03,4,high_reduced,heterophilic; Acc low for all methods,
