dataset,model,defense,metric,mean_none,mean_def,mean_diff,ci_low,ci_high,cohens_d,p_val,n_seeds,p_val_corrected,significant
Citeseer,GCN,epsd_tuned,test_accuracy,0.72276,0.72276,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_tuned,test_auroc,0.9156000000000001,0.9156000000000001,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_tuned,conf_attack_auc,0.635,0.635,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_tuned,threshold_attack_auc,0.6293399999999999,0.6293399999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_tuned,shadow_attack_auc,0.6313599999999999,0.6313599999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_tuned,label_only_attack_auc,0.5447599999999999,0.5447599999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,dropedge,test_accuracy,0.72276,0.72972,0.0069600000000000104,-0.0005011505965227423,0.014421150596522762,2.019300809086098,0.06068667444335511,5,0.35812355110871485,False
Citeseer,GCN,dropedge,test_auroc,0.9156000000000001,0.9184800000000001,0.002880000000000016,0.0010332987194537967,0.004726701280546235,0.5498596841577144,0.012349999570420423,5,0.12247549359101334,False
Citeseer,GCN,dropedge,conf_attack_auc,0.635,0.63448,-0.0005199999999999872,-0.007638428405549687,0.006598428405549712,-0.05890352064327515,0.8491755422556108,5,1.0,False
Citeseer,GCN,dropedge,threshold_attack_auc,0.6293399999999999,0.63358,0.0042400000000000215,0.0011650322069911147,0.007314967793008928,0.49572845612052907,0.01864403294731843,5,0.16521481504085256,False
Citeseer,GCN,dropedge,shadow_attack_auc,0.6313599999999999,0.6385,0.007139999999999991,-0.002680769475316448,0.01696076947531643,0.7496853203680406,0.11368404261692013,5,0.5645000736840171,False
Citeseer,GCN,dropedge,label_only_attack_auc,0.5447599999999999,0.5505800000000001,0.005820000000000003,-0.012069745623833908,0.023709745623833912,0.46766226094775903,0.4174707088131946,5,1.0,False
Citeseer,GCN,label_smoothing,test_accuracy,0.72276,0.72142,-0.0013400000000000079,-0.006416872415256273,0.003736872415256257,-0.319500747551844,0.5042976778430168,5,1.0,False
Citeseer,GCN,label_smoothing,test_auroc,0.9156000000000001,0.90532,-0.010279999999999978,-0.011844200975513954,-0.008715799024486003,-1.8760498515126602,5.305745585488966e-05,5,0.0020374063048277627,True
Citeseer,GCN,label_smoothing,conf_attack_auc,0.635,0.6535200000000001,0.018520000000000002,0.001863782075882614,0.03517621792411739,1.4345451414586465,0.03667676194304456,5,0.24919500968060695,False
Citeseer,GCN,label_smoothing,threshold_attack_auc,0.6293399999999999,0.6455,0.016160000000000018,0.010093229196522691,0.022226770803477347,1.3922552752076351,0.001782769130750914,5,0.03312500062298472,True
Citeseer,GCN,label_smoothing,shadow_attack_auc,0.6313599999999999,0.65952,0.028159999999999984,0.011732545982514612,0.04458745401748536,3.691944153841205,0.008909175071442536,5,0.09163722930626608,False
Citeseer,GCN,label_smoothing,label_only_attack_auc,0.5447599999999999,0.54826,0.003499999999999992,-0.006625844130855201,0.013625844130855186,0.4691208545316561,0.39156266387250244,5,1.0,False
Citeseer,GCN,confidence_masking,test_accuracy,0.72276,0.72276,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,confidence_masking,test_auroc,0.9156000000000001,0.8847999999999999,-0.030800000000000004,-0.03594354721499769,-0.02565645278500232,-6.118836316553306,7.667261226236594e-05,5,0.0024738800848881563,True
Citeseer,GCN,confidence_masking,conf_attack_auc,0.635,0.6172000000000001,-0.017799999999999993,-0.03756840613370874,0.001968406133708755,-1.8193363050504574,0.06676760042058198,5,0.3821520734121066,False
Citeseer,GCN,confidence_masking,threshold_attack_auc,0.6293399999999999,0.6273799999999999,-0.001960000000000006,-0.003551559468862967,-0.0003684405311370454,-0.213147382716079,0.02680028469048375,5,0.21885851855738703,False
Citeseer,GCN,confidence_masking,shadow_attack_auc,0.6313599999999999,0.62488,-0.006479999999999997,-0.02163272737590516,0.008672727375905166,-0.7629603832934948,0.30078594046877544,5,0.9788288232204218,False
Citeseer,GCN,confidence_masking,label_only_attack_auc,0.5447599999999999,0.5447599999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_ablation,test_accuracy,0.72276,0.72276,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_ablation,test_auroc,0.9156000000000001,0.9156000000000001,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_ablation,conf_attack_auc,0.635,0.635,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_ablation,threshold_attack_auc,0.6293399999999999,0.6293399999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_ablation,shadow_attack_auc,0.6313599999999999,0.6313599999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,epsd_ablation,label_only_attack_auc,0.5447599999999999,0.5447599999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GCN,dp_sgd,test_accuracy,0.72276,0.7293399999999999,0.0065799999999999635,-0.0028853570349727546,0.01604535703497268,1.1321629224372,0.1258020997296066,5,0.5971791956746205,False
Citeseer,GCN,dp_sgd,test_auroc,0.9156000000000001,0.9114000000000001,-0.004200000000000004,-0.006918932304760001,-0.001481067695240007,-0.8889511059471737,0.012757863915730557,5,0.12247549359101334,False
Citeseer,GCN,dp_sgd,conf_attack_auc,0.635,0.5799799999999999,-0.05502,-0.08065508469953081,-0.02938491530046919,-3.8774275400786715,0.003981238867699355,5,0.04985203451727888,True
Citeseer,GCN,dp_sgd,threshold_attack_auc,0.6293399999999999,0.59112,-0.03821999999999999,-0.04446940727587157,-0.03197059272412841,-4.719147924069016,7.053616328014456e-05,5,0.0024738800848881563,True
Citeseer,GCN,dp_sgd,shadow_attack_auc,0.6313599999999999,0.5852999999999999,-0.04605999999999999,-0.06640692937512829,-0.025713070624871694,-4.188978092348868,0.0032729419241118397,5,0.0448860606735338,True
