dataset,model,defense,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,attack_auc_mean,attack_auc_std,attack_tpr01_mean,attack_tpr05_mean,attack_adv_mean,thresh_auc_mean,thresh_auc_std,shadow_auc_mean,shadow_auc_std,shadow_tpr01_mean,shadow_tpr05_mean,shadow_adv_mean,ece_test_mean,ece_test_std,label_only_auc_mean,label_only_auc_std,label_only_tpr01_mean,label_only_tpr05_mean,label_only_adv_mean,train_ego_gap_mean,test_ego_gap_mean,ego_gap_diff_mean,dp_epsilon_mean
Citeseer,GCN,confidence_masking,0.7255,0.0124,0.6964,0.0123,0.6256,0.0128,0.0121,0.0655,0.2499,0.6253,0.0111,0.6251,0.0105,0.0134,0.0625,0.2434,0.1875,0.011,,,,,,0.0776,0.0511,0.0266,
Citeseer,GCN,dropedge,0.7312,0.0103,0.6992,0.0079,0.6367,0.0154,0.019,0.0681,0.2395,0.6328,0.0107,0.6368,0.0111,0.0145,0.0655,0.24,0.1361,0.0119,,,,,,0.0647,0.046,0.0187,
Citeseer,GCN,early_stopping,0.7255,0.0124,0.6964,0.0123,0.6316,0.0174,0.0191,0.0716,0.2584,0.6268,0.0111,0.6276,0.0102,0.0136,0.0653,0.2524,0.16,0.0111,,,,,,0.0776,0.0511,0.0266,
Citeseer,GCN,edge_sparsification,0.7174,0.0095,0.6866,0.0114,0.6492,0.0131,0.0197,0.073,0.2742,0.648,0.0087,0.6484,0.0089,0.0158,0.0703,0.2744,0.1673,0.0108,,,,,,0.0761,0.0506,0.0255,
Citeseer,GCN,epsd_tuned,0.729,0.0079,0.6984,0.0089,0.6185,0.0196,0.0142,0.0631,0.2411,0.6212,0.0107,0.6194,0.0122,0.013,0.0593,0.2404,0.1615,0.0078,,,,,,0.0399,0.0485,-0.0085,
Citeseer,GCN,label_smoothing,0.7236,0.011,0.6934,0.0098,0.6483,0.0175,0.0126,0.0427,0.2658,0.6428,0.0117,0.6495,0.0135,0.0089,0.0476,0.2615,0.0558,0.0102,,,,,,0.0736,0.0475,0.0261,
Citeseer,GCN,none,0.7255,0.0124,0.6964,0.0123,0.6316,0.0174,0.0191,0.0716,0.2584,0.6268,0.0111,0.6276,0.0102,0.0136,0.0653,0.2524,0.16,0.0111,,,,,,0.0776,0.0511,0.0266,
Citeseer,GraphSAGE,confidence_masking,0.7483,0.01,0.7143,0.013,0.7253,0.0106,0.0164,0.0729,0.4355,0.7284,0.009,0.7284,0.009,0.0166,0.0775,0.4399,0.1659,0.0114,,,,,,0.1954,0.1533,0.042,
Citeseer,GraphSAGE,dropedge,0.7528,0.0085,0.7182,0.0106,0.7391,0.0092,0.018,0.0828,0.4539,0.7428,0.0051,0.7425,0.005,0.0169,0.0867,0.4549,0.1398,0.0088,,,,,,0.3604,0.3421,0.0183,
Citeseer,GraphSAGE,early_stopping,0.748,0.0106,0.7121,0.0159,0.7319,0.0125,0.0232,0.0964,0.436,0.7338,0.0117,0.7336,0.0117,0.0227,0.0982,0.4371,0.1496,0.014,,,,,,0.1597,0.1331,0.0266,
Citeseer,GraphSAGE,edge_sparsification,0.7395,0.0101,0.7046,0.0112,0.7207,0.0156,0.0154,0.0761,0.4507,0.7264,0.0112,0.7254,0.0112,0.0156,0.0764,0.456,0.1359,0.01,,,,,,0.2672,0.2126,0.0546,
Citeseer,GraphSAGE,epsd_tuned,0.7376,0.0112,0.7049,0.0131,0.7097,0.0112,0.0192,0.091,0.3697,0.7092,0.0095,0.7063,0.0095,0.0186,0.089,0.3703,0.1631,0.0142,,,,,,0.0274,0.0452,-0.0178,
Citeseer,GraphSAGE,label_smoothing,0.7457,0.0087,0.7112,0.0124,0.7913,0.0124,0.0008,0.0527,0.5486,0.7926,0.0094,0.7924,0.0094,0.0012,0.05,0.549,0.0316,0.0063,,,,,,0.2091,0.1194,0.0897,
Citeseer,GraphSAGE,none,0.7483,0.01,0.7143,0.013,0.7236,0.0104,0.0157,0.0754,0.4361,0.7265,0.0089,0.7261,0.0089,0.0147,0.0784,0.4419,0.1366,0.0118,,,,,,0.1954,0.1533,0.042,
Citeseer,LogReg,none,0.7081,0.0067,0.6768,0.0103,0.7343,0.0147,0.0196,0.0828,0.4922,0.7312,0.0081,0.7644,0.0101,0.0376,0.1382,0.4923,0.0641,0.0068,,,,,,,,,
Citeseer,MLP,none,0.7098,0.0106,0.6806,0.0119,0.8334,0.0091,0.0243,0.101,0.6816,0.8366,0.0062,0.8356,0.0063,0.0216,0.1026,0.6812,0.1774,0.0141,,,,,,,,,
Cora,GCN,confidence_masking,0.8748,0.0075,0.8651,0.008,0.5539,0.0131,0.0124,0.058,0.1241,0.5583,0.0054,0.5631,0.0099,0.015,0.0629,0.1236,0.0539,0.0084,,,,,,0.0299,0.0196,0.0103,
Cora,GCN,dropedge,0.8751,0.0071,0.8659,0.0069,0.5622,0.0144,0.0139,0.0557,0.1203,0.5654,0.0066,0.5624,0.0115,0.0098,0.0529,0.1168,0.0229,0.0065,,,,,,0.0264,0.0186,0.0079,
Cora,GCN,early_stopping,0.8748,0.0075,0.8651,0.008,0.5544,0.0128,0.0104,0.0513,0.1251,0.5592,0.0055,0.5636,0.0074,0.0112,0.056,0.1237,0.033,0.0084,,,,,,0.0299,0.0196,0.0103,
