dataset,model,defense,metric,mean,std,ci_low,ci_high,n_seeds
Citeseer,GCN,confidence_masking,test_accuracy,0.7255100000000001,0.012438689641598114,0.7184780000000001,0.73265175,10
Citeseer,GCN,confidence_masking,conf_attack_auc,0.62563,0.012828444956423981,0.61797925,0.6331807500000001,10
Citeseer,GCN,confidence_masking,ece_test,0.18749000000000002,0.01099064753930965,0.18087850000000003,0.19339,10
Citeseer,GCN,dropedge,test_accuracy,0.7312099999999999,0.010257403830079673,0.72459,0.73692,10
Citeseer,GCN,dropedge,conf_attack_auc,0.6367100000000001,0.015385379062242447,0.6280662500000002,0.6452627500000001,10
Citeseer,GCN,dropedge,ece_test,0.13606,0.011904919618002935,0.129136,0.14311300000000002,10
Citeseer,GCN,early_stopping,test_accuracy,0.7255100000000001,0.012438689641598114,0.71840875,0.7327215,10
Citeseer,GCN,early_stopping,conf_attack_auc,0.63157,0.01737476138924888,0.62225925,0.64153225,10
Citeseer,GCN,early_stopping,ece_test,0.16000999999999999,0.011132380198721608,0.15339875,0.16652050000000002,10
Citeseer,GCN,edge_sparsification,test_accuracy,0.71737,0.009474181289753286,0.7121172499999999,0.7231015000000001,10
Citeseer,GCN,edge_sparsification,conf_attack_auc,0.6491600000000001,0.013141385010720897,0.6415892500000001,0.6572199999999999,10
Citeseer,GCN,edge_sparsification,ece_test,0.16728000000000004,0.010816838724877062,0.16118000000000002,0.1736305,10
Citeseer,GCN,epsd_tuned,test_accuracy,0.7290500000000001,0.007949737941173483,0.7245397499999999,0.73403175,10
Citeseer,GCN,epsd_tuned,conf_attack_auc,0.6184700000000001,0.019598472162674095,0.6066782499999999,0.630543,10
Citeseer,GCN,epsd_tuned,ece_test,0.16153,0.007781609373673574,0.156979,0.16613025,10
Citeseer,GCN,label_smoothing,test_accuracy,0.72358,0.011036384271027258,0.7171482499999999,0.7296015,10
Citeseer,GCN,label_smoothing,conf_attack_auc,0.64834,0.017531571521115837,0.6369325,0.6580907500000001,10
Citeseer,GCN,label_smoothing,ece_test,0.05585,0.010235043288189409,0.05005999999999999,0.06217025,10
Citeseer,GCN,none,test_accuracy,0.7255100000000001,0.012438689641598114,0.71865825,0.7330812499999999,10
Citeseer,GCN,none,conf_attack_auc,0.63157,0.01737476138924888,0.6209315,0.6412615,10
Citeseer,GCN,none,ece_test,0.16000999999999999,0.011132380198721608,0.1534085,0.16636075,10
Citeseer,GraphSAGE,confidence_masking,test_accuracy,0.7483199999999999,0.010015188465525748,0.7430399999999999,0.7550399999999999,10
Citeseer,GraphSAGE,confidence_masking,conf_attack_auc,0.72531,0.010644816161452065,0.7192585,0.7315619999999999,10
Citeseer,GraphSAGE,confidence_masking,ece_test,0.16595000000000001,0.01142426754277441,0.158088,0.17185175,10
Citeseer,GraphSAGE,dropedge,test_accuracy,0.7528199999999999,0.00850435182715298,0.74802,0.7578015000000001,10
Citeseer,GraphSAGE,dropedge,conf_attack_auc,0.7391,0.009241933419654848,0.7340180000000001,0.74455075,10
Citeseer,GraphSAGE,dropedge,ece_test,0.13984999999999997,0.008750904715132792,0.13444975,0.14489075,10
Citeseer,GraphSAGE,early_stopping,test_accuracy,0.74802,0.010605847443745346,0.74226,0.75444,10
Citeseer,GraphSAGE,early_stopping,conf_attack_auc,0.7319,0.012529254655494168,0.7246687500000001,0.7391854999999999,10
Citeseer,GraphSAGE,early_stopping,ece_test,0.14956,0.014007394872391906,0.14153575000000002,0.15772999999999998,10
Citeseer,GraphSAGE,edge_sparsification,test_accuracy,0.7394999999999999,0.01010049503737318,0.73368,0.7455615,10
Citeseer,GraphSAGE,edge_sparsification,conf_attack_auc,0.72069,0.015628993711830734,0.7113695,0.7298549999999999,10
Citeseer,GraphSAGE,edge_sparsification,ece_test,0.13588000000000003,0.00997583747528664,0.12991925,0.14201225000000003,10
Citeseer,GraphSAGE,epsd_tuned,test_accuracy,0.73758,0.011164407731715993,0.7316400000000001,0.7446599999999999,10
Citeseer,GraphSAGE,epsd_tuned,conf_attack_auc,0.70968,0.011157239802029893,0.7033699999999999,0.7161810000000001,10
Citeseer,GraphSAGE,epsd_tuned,ece_test,0.16312,0.014165043044214315,0.154538,0.17055250000000002,10
Citeseer,GraphSAGE,label_smoothing,test_accuracy,0.7456799999999999,0.008712290169639668,0.7412985000000001,0.7512644999999999,10
Citeseer,GraphSAGE,label_smoothing,conf_attack_auc,0.79129,0.01238650251057354,0.7835397499999999,0.7978012499999999,10
Citeseer,GraphSAGE,label_smoothing,ece_test,0.03157,0.006347886787480276,0.028009,0.03516,10
Citeseer,GraphSAGE,none,test_accuracy,0.7483199999999999,0.010015188465525748,0.7429785,0.7554029999999999,10
Citeseer,GraphSAGE,none,conf_attack_auc,0.7235499999999999,0.010422118573282301,0.7174695,0.7297419999999999,10
Citeseer,GraphSAGE,none,ece_test,0.13656000000000001,0.011835464596804905,0.12926975000000002,0.14306075000000001,10
Citeseer,LogReg,none,test_accuracy,0.70809,0.006663407536688712,0.70418,0.7117602500000001,10
Citeseer,LogReg,none,conf_attack_auc,0.73434,0.014657284878175766,0.7261392499999999,0.7437819999999998,10
Citeseer,LogReg,none,ece_test,0.06414,0.0068174938373439155,0.05977850000000001,0.06763025,10
Citeseer,MLP,none,test_accuracy,0.7097800000000001,0.010620504277627845,0.70359,0.7161715000000001,10
Citeseer,MLP,none,conf_attack_auc,0.83339,0.009143236723271372,0.8278395,0.8383005,10
Citeseer,MLP,none,ece_test,0.17740999999999998,0.014086593311056836,0.16935725,0.18619175000000002,10
Cora,GCN,confidence_masking,test_accuracy,0.8747499999999999,0.007507662752148636,0.8705284999999999,0.87897,10
Cora,GCN,confidence_masking,conf_attack_auc,0.5539200000000001,0.013119095497276736,0.54589325,0.5611405,10
Cora,GCN,confidence_masking,ece_test,0.05391,0.008371970430483428,0.049366,0.058672749999999996,10
Cora,GCN,dropedge,test_accuracy,0.8751,0.007105866121264425,0.8708899999999999,0.879522,10
Cora,GCN,dropedge,conf_attack_auc,0.56225,0.01437097769812478,0.5534287500000001,0.57066025,10
Cora,GCN,dropedge,ece_test,0.02292,0.0064921833341676696,0.01930975,0.02679025,10
Cora,GCN,early_stopping,test_accuracy,0.8747499999999999,0.007507662752148636,0.8708397499999999,0.8792635000000001,10
Cora,GCN,early_stopping,conf_attack_auc,0.55438,0.012773392484205434,0.5471294999999999,0.56165075,10
Cora,GCN,early_stopping,ece_test,0.03301,0.00843872686553553,0.028607250000000008,0.0379415,10
Cora,GCN,edge_sparsification,test_accuracy,0.8631400000000001,0.006856821421037575,0.85883825,0.86707225,10
Cora,GCN,edge_sparsification,conf_attack_auc,0.5777300000000001,0.014878997128689677,0.5689795000000001,0.5869405,10
Cora,GCN,edge_sparsification,ece_test,0.041650000000000006,0.009392106614954213,0.03599000000000001,0.046922,10
Cora,GCN,epsd_tuned,test_accuracy,0.87615,0.00886983026268762,0.8712197499999998,0.88110025,10
Cora,GCN,epsd_tuned,conf_attack_auc,0.54964,0.010186068917889772,0.5436697499999998,0.5561210000000001,10
Cora,GCN,epsd_tuned,ece_test,0.03671,0.009047338466827322,0.03166775000000001,0.04195175,10
Cora,GCN,label_smoothing,test_accuracy,0.87415,0.006851642138932835,0.8701599999999999,0.8779899999999999,10
Cora,GCN,label_smoothing,conf_attack_auc,0.58958,0.01634229686019277,0.57934825,0.59873625,10
Cora,GCN,label_smoothing,ece_test,0.09031,0.007970006273523253,0.08580675000000001,0.09504024999999999,10
Cora,GCN,none,test_accuracy,0.8747499999999999,0.007507662752148636,0.8705399999999999,0.87934,10
Cora,GCN,none,conf_attack_auc,0.55438,0.012773392484205434,0.5472285000000001,0.5619122499999999,10
Cora,GCN,none,ece_test,0.03301,0.00843872686553553,0.028197499999999997,0.0383405,10
Cora,GraphSAGE,confidence_masking,test_accuracy,0.88048,0.003997443627564434,0.8781397499999999,0.88269,10
Cora,GraphSAGE,confidence_masking,conf_attack_auc,0.62702,0.017093910546676496,0.61671825,0.6363205,10
Cora,GraphSAGE,confidence_masking,ece_test,0.0635,0.004574567374808974,0.06065924999999999,0.06609999999999999,10
Cora,GraphSAGE,dropedge,test_accuracy,0.87377,0.006671006920498092,0.86956975,0.8775299999999999,10
Cora,GraphSAGE,dropedge,conf_attack_auc,0.6641,0.01557276825458824,0.6554034999999999,0.6725912500000001,10
Cora,GraphSAGE,dropedge,ece_test,0.052169999999999994,0.010137723829560777,0.04652925,0.05803150000000001,10
Cora,GraphSAGE,early_stopping,test_accuracy,0.8793099999999999,0.00501563112235693,0.8765785,0.8823399999999999,10
Cora,GraphSAGE,early_stopping,conf_attack_auc,0.6296700000000001,0.018175383229950222,0.61865875,0.6394305,10
Cora,GraphSAGE,early_stopping,ece_test,0.05375,0.010096781665461524,0.048197250000000004,0.060250500000000005,10
Cora,GraphSAGE,edge_sparsification,test_accuracy,0.8589399999999999,0.006200931829616866,0.8553885000000001,0.8629302500000001,10
Cora,GraphSAGE,edge_sparsification,conf_attack_auc,0.6384399999999999,0.016474438112151536,0.6268585,0.647181,10
Cora,GraphSAGE,edge_sparsification,ece_test,0.05807,0.006611446303360727,0.054088500000000005,0.06218024999999999,10
Cora,GraphSAGE,epsd_tuned,test_accuracy,0.87585,0.005828521825185751,0.8726,0.8792405,10
Cora,GraphSAGE,epsd_tuned,conf_attack_auc,0.6078699999999999,0.019582818432947232,0.596579,0.6186204999999999,10
Cora,GraphSAGE,epsd_tuned,ece_test,0.06121,0.005501807783709722,0.058089999999999996,0.06452075,10
Cora,GraphSAGE,label_smoothing,test_accuracy,0.8797,0.004314832300075828,0.87704975,0.8821902500000002,10
Cora,GraphSAGE,label_smoothing,conf_attack_auc,0.67809,0.018257871970437534,0.667539,0.689543,10
Cora,GraphSAGE,label_smoothing,ece_test,0.10222,0.007552600729402936,0.098076,0.10653024999999999,10
Cora,GraphSAGE,none,test_accuracy,0.88048,0.003997443627564434,0.87805,0.88269175,10
Cora,GraphSAGE,none,conf_attack_auc,0.6274,0.017807239476622362,0.6154965,0.636741,10
Cora,GraphSAGE,none,ece_test,0.04965000000000001,0.006617191414960142,0.045428249999999996,0.05320999999999999,10
Cora,LogReg,none,test_accuracy,0.74195,0.011355199494309015,0.735378,0.74874025,10
Cora,LogReg,none,conf_attack_auc,0.7234399999999999,0.016519698678984552,0.71386675,0.7328115,10
Cora,LogReg,none,ece_test,0.02787,0.005967886281311555,0.02434975,0.031080500000000004,10
Cora,MLP,none,test_accuracy,0.72732,0.010653929895687416,0.72149,0.73402025,10
Cora,MLP,none,conf_attack_auc,0.76951,0.013090577612245458,0.76214975,0.77673225,10
Cora,MLP,none,ece_test,0.16316,0.011201408641575194,0.15636899999999998,0.16999074999999997,10
synthetic_high_dense,GCN,confidence_masking,test_accuracy,1.0,0.0,1.0,1.0,10
synthetic_high_dense,GCN,confidence_masking,conf_attack_auc,0.49926000000000004,0.05126285638202815,0.46891750000000004,0.5290259999999999,10
synthetic_high_dense,GCN,confidence_masking,ece_test,0.00028,0.0002740640638812595,0.00013975000000000023,0.00046,10
synthetic_high_dense,GCN,dropedge,test_accuracy,1.0,0.0,1.0,1.0,10
synthetic_high_dense,GCN,dropedge,conf_attack_auc,0.50751,0.05474237542038769,0.47604949999999996,0.5399587499999999,10
synthetic_high_dense,GCN,dropedge,ece_test,0.00031,0.00027668674625929514,0.00016975000000000022,0.00049,10
synthetic_high_dense,GCN,early_stopping,test_accuracy,1.0,0.0,1.0,1.0,10
synthetic_high_dense,GCN,early_stopping,conf_attack_auc,0.49967000000000006,0.04886598567056185,0.47206975,0.527376,10
synthetic_high_dense,GCN,early_stopping,ece_test,0.00034999999999999994,0.000313581462037113,0.00017,0.00053,10
synthetic_high_dense,GCN,edge_sparsification,test_accuracy,1.0,0.0,1.0,1.0,10
synthetic_high_dense,GCN,edge_sparsification,conf_attack_auc,0.51402,0.05185684997075014,0.48355774999999995,0.5445857500000001,10
synthetic_high_dense,GCN,edge_sparsification,ece_test,0.0010700000000000002,0.0010625441167311596,0.0005297500000000001,0.0017402499999999996,10
synthetic_high_dense,GCN,epsd_tuned,test_accuracy,1.0,0.0,1.0,1.0,10
synthetic_high_dense,GCN,epsd_tuned,conf_attack_auc,0.4976999999999999,0.051001808246810665,0.46868849999999995,0.52748225,10
synthetic_high_dense,GCN,epsd_tuned,ece_test,0.00033,0.0003497618237219913,0.00015975000000000022,0.0005499999999999999,10
synthetic_high_dense,GCN,label_smoothing,test_accuracy,1.0,0.0,1.0,1.0,10
synthetic_high_dense,GCN,label_smoothing,conf_attack_auc,0.51733,0.04947809953235201,0.48957325,0.5448635,10
synthetic_high_dense,GCN,label_smoothing,ece_test,0.09454,0.007261955659462538,0.09008925000000001,0.09909124999999998,10
synthetic_high_dense,GCN,none,test_accuracy,1.0,0.0,1.0,1.0,10
synthetic_high_dense,GCN,none,conf_attack_auc,0.4983700000000001,0.05128677650666344,0.4677497500000001,0.5281897500000001,10
synthetic_high_dense,GCN,none,ece_test,0.00033,0.000316403399335581,0.00016000000000000004,0.0005202499999999999,10
synthetic_high_dense,GraphSAGE,confidence_masking,test_accuracy,1.0,0.0,1.0,1.0,10
synthetic_high_dense,GraphSAGE,confidence_masking,conf_attack_auc,0.51187,0.023768889564115336,0.49739875,0.52534125,10
synthetic_high_dense,GraphSAGE,confidence_masking,ece_test,0.0,0.0,0.0,0.0,10
synthetic_high_dense,GraphSAGE,dropedge,test_accuracy,1.0,0.0,1.0,1.0,10
synthetic_high_dense,GraphSAGE,dropedge,conf_attack_auc,0.5075799999999999,0.04111409058272413,0.48476775000000005,0.5323515,10
synthetic_high_dense,GraphSAGE,dropedge,ece_test,0.0,0.0,0.0,0.0,10
synthetic_high_dense,GraphSAGE,early_stopping,test_accuracy,1.0,0.0,1.0,1.0,10
synthetic_high_dense,GraphSAGE,early_stopping,conf_attack_auc,0.5135799999999999,0.04296763122785957,0.49243899999999996,0.5391250000000001,10
