dataset,n_nodes,homophily,density,seed,n_shadows,acc,lira,tpr01,train_s,snr
synth_small_dense_h0.8,2700,0.7999945282936096,0.04,42,4.0,1.0,0.5013777434842249,0.0046296296296296,7.039083003997803,1.0
synth_small_dense_h0.8,2700,0.7999945282936096,0.04,123,4.0,1.0,0.5,0.0,8.474345922470093,1.0
synth_small_dense_h0.8,2700,0.7999945282936096,0.04,456,4.0,1.0,0.5000012860082305,0.0027777777777777,7.578284025192261,1.0
synth_small_sparse_h0.8,2700,0.7999780178070068,0.0049999313874823,42,4.0,1.0,0.5018359910836763,0.0074074074074074,1.8616938591003416,1.0
synth_small_sparse_h0.8,2700,0.7999780178070068,0.0049999313874823,123,4.0,1.0,0.4999824245541838,0.0092592592592592,1.7963218688964844,1.0
synth_small_sparse_h0.8,2700,0.7999780178070068,0.0049999313874823,456,4.0,0.999074074074074,0.5018355624142662,0.0101851851851851,1.271589279174805,1.0
synth_small_dense_h0.8_snr0.25,2700,0.7999945282936096,0.04,42,,1.0,0.4986501200274349,0.001851851851851852,,0.25
synth_small_dense_h0.8_snr0.25,2700,0.7999945282936096,0.04,123,,1.0,0.4955791323731139,0.018518518518518517,,0.25
synth_small_dense_h0.8_snr0.25,2700,0.7999945282936096,0.04,456,,1.0,0.5079179526748971,0.004629629629629629,,0.25
synth_small_dense_h0.8_snr0.5,2700,0.7999945282936096,0.04,42,,1.0,0.5027040466392318,0.010185185185185186,,0.5
synth_small_dense_h0.8_snr0.5,2700,0.7999945282936096,0.04,123,,1.0,0.4972325102880658,0.000925925925925926,,0.5
synth_small_dense_h0.8_snr0.5,2700,0.7999945282936096,0.04,456,,1.0,0.49861325445816185,0.000925925925925926,,0.5
