dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,train_ratio
Cora,GCN,none,{},42,eac9960f8ba0,0.81,0.00144,0.8479,0.9982,0.1502,0.8391,0.9781,0.6105,0.7553,0.6317,0.5683,0.0,0.0074,0.6106,0.7553,,,0.6016,0.7124,0.0074,0.0517,0.0583,0.2854,1,,0.2
Cora,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8417,0.9926,0.1509,0.8285,0.9494,0.5558,0.7553,0.5754,0.5249,0.0,0.0092,0.5289,0.7553,,,0.5426,0.6888,0.0092,0.0166,0.0741,1.0844,1,,0.2
Cora,GCN,none,{},123,eac9960f8ba0,0.81,0.00144,0.8399,1.0,0.1601,0.8291,0.9721,0.6149,0.7405,0.6271,0.5499,0.0,0.0092,0.6396,0.7405,,,0.5816,0.6985,0.0,0.0092,0.0572,0.3012,1,,0.2
Cora,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8393,0.9963,0.157,0.8279,0.945,0.5793,0.7405,0.5999,0.5452,0.0,0.0203,0.6033,0.7405,,,0.5292,0.6791,0.0055,0.0092,0.0702,1.4271,1,,0.2
Cora,GraphSAGE,none,{},42,eac9960f8ba0,0.81,0.00144,0.8467,1.0,0.1533,0.836,0.9764,0.7261,0.7553,0.7378,0.645,0.0,0.0203,0.7261,0.7553,,,0.6482,0.7442,0.0535,0.1125,0.0627,1.6794,1,,0.2
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8615,0.9963,0.1349,0.8515,0.9596,0.5621,0.7553,0.5786,0.5277,0.0,0.0,0.5521,0.7553,,,0.5352,0.6856,0.0074,0.0148,0.0791,5.6101,1,,0.2
Cora,GraphSAGE,none,{},123,eac9960f8ba0,0.81,0.00144,0.8374,1.0,0.1626,0.8286,0.9725,0.7114,0.7405,0.7237,0.6265,0.0,0.0185,0.7112,0.7405,,,0.6305,0.7318,0.0203,0.0683,0.0817,1.7651,1,,0.2
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8553,1.0,0.1447,0.8436,0.9473,0.5801,0.7405,0.6012,0.5443,0.0,0.0277,0.5859,0.7405,,,0.5337,0.6814,0.0055,0.0111,0.0752,5.4835,1,,0.2
Citeseer,GCN,none,{},42,eac9960f8ba0,0.7355,0.000823,0.7121,0.9925,0.2804,0.6767,0.9022,0.7216,0.7588,0.7192,0.6334,0.0045,0.0211,0.7174,0.7588,,,0.6182,0.722,0.003,0.0466,0.1683,0.9606,1,,0.2
Citeseer,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.7355,0.000823,0.7296,0.988,0.2584,0.6954,0.8623,0.6513,0.7588,0.6646,0.5845,0.0,0.0,0.648,0.7588,,,0.556,0.7006,0.0,0.015,0.0486,2.8918,1,,0.2
Citeseer,GCN,none,{},123,eac9960f8ba0,0.7355,0.000823,0.7181,0.9895,0.2714,0.6891,0.9064,0.7103,0.7446,0.7031,0.6198,0.0,0.0256,0.7099,0.7446,,,0.6135,0.7228,0.0165,0.0662,0.1602,0.9174,1,,0.2
Citeseer,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.7355,0.000823,0.7211,0.9744,0.2534,0.6909,0.8704,0.646,0.7446,0.656,0.577,0.0,0.0,0.6459,0.7446,,,0.5547,0.6942,0.003,0.0256,0.0429,2.6865,1,,0.2
Citeseer,GraphSAGE,none,{},42,eac9960f8ba0,0.7355,0.000823,0.7211,1.0,0.2789,0.6859,0.9095,0.7883,0.7588,0.8019,0.704,0.0045,0.018,0.7883,0.7303,,,0.6515,0.7457,0.009,0.0872,0.1639,3.1702,1,,0.2
