dataset,model,defense,defense_params,seed,homophily,density,test_accuracy,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,label_only_attack_auc,label_only_attack_acc,ece_test,dp_epsilon
ogbn-arxiv,GCN,none,{},42,0.6542,8.1e-05,0.5994,0.2349,0.9141,0.5727,0.6519,0.5145,0.5013,,,,,0.4958,0.5247,0.1738,
ogbn-arxiv,GCN,none,{},123,0.6542,8.1e-05,0.5718,0.212,0.902,0.571,0.6492,0.5123,0.4995,,,,,0.4953,0.5156,0.1874,
ogbn-arxiv,GCN,none,{},456,0.6542,8.1e-05,0.5834,0.2254,0.9131,0.5736,0.6511,0.5168,0.5021,,,,,0.4984,0.5232,0.1794,
ogbn-arxiv,GCN,none,{},789,0.6542,8.1e-05,0.585,0.2142,0.9045,0.5753,0.6515,0.5146,0.4997,,,,,0.4906,0.5136,0.2035,
ogbn-arxiv,GCN,none,{},1024,0.6542,8.1e-05,0.5941,0.2276,0.9064,0.5787,0.6508,0.5116,0.4977,,,,,0.4914,0.5173,0.2122,
ogbn-arxiv,GCN,epsd,"{""lambda_epsd"": 5.0}",42,0.6542,8.1e-05,0.577,0.2066,0.9004,0.5964,0.6474,0.5042,0.489,,,,,0.4905,0.511,0.2551,
ogbn-arxiv,GCN,epsd,"{""lambda_epsd"": 5.0}",123,0.6542,8.1e-05,0.5596,0.1846,0.8951,0.5851,0.6464,0.504,0.4877,,,,,0.4887,0.5033,0.2537,
ogbn-arxiv,GCN,epsd,"{""lambda_epsd"": 5.0}",456,0.6542,8.1e-05,0.5588,0.1944,0.9024,0.5863,0.6496,0.508,0.4884,,,,,0.4953,0.5117,0.2526,
ogbn-arxiv,GCN,epsd,"{""lambda_epsd"": 5.0}",789,0.6542,8.1e-05,0.5516,0.1815,0.8959,0.5768,0.6519,0.5063,0.4891,,,,,0.4927,0.5062,0.2571,
ogbn-arxiv,GCN,epsd,"{""lambda_epsd"": 5.0}",1024,0.6542,8.1e-05,0.5533,0.1782,0.891,0.5815,0.651,0.502,0.4846,,,,,0.4897,0.5028,0.2675,
ogbn-arxiv,GraphSAGE,none,{},42,0.6542,8.1e-05,0.607,0.2584,0.9361,0.5302,0.6524,0.4986,0.4948,,,,,0.4967,0.5282,0.0711,
ogbn-arxiv,GraphSAGE,none,{},123,0.6542,8.1e-05,0.6179,0.2701,0.9399,0.5335,0.6496,0.4978,0.4943,,,,,0.4963,0.531,0.0658,
ogbn-arxiv,GraphSAGE,none,{},456,0.6542,8.1e-05,0.5942,0.2435,0.9327,0.5432,0.6513,0.4962,0.4896,,,,,0.4973,0.5251,0.068,
ogbn-arxiv,GraphSAGE,none,{},789,0.6542,8.1e-05,0.6088,0.2609,0.9355,0.5347,0.6519,0.4999,0.4936,,,,,0.4967,0.5287,0.0733,
ogbn-arxiv,GraphSAGE,none,{},1024,0.6542,8.1e-05,0.6035,0.2585,0.9384,0.5288,0.651,0.4983,0.4972,,,,,0.4999,0.5313,0.0565,
ogbn-arxiv,GraphSAGE,epsd,"{""lambda_epsd"": 5.0}",42,0.6542,8.1e-05,0.5284,0.16,0.8976,0.5976,0.6524,0.4836,0.4635,,,,,0.4949,0.5019,0.1556,
ogbn-arxiv,GraphSAGE,epsd,"{""lambda_epsd"": 5.0}",123,0.6542,8.1e-05,0.5365,0.1729,0.9055,0.5959,0.6496,0.4831,0.4648,,,,,0.4933,0.5024,0.1453,
ogbn-arxiv,GraphSAGE,epsd,"{""lambda_epsd"": 5.0}",456,0.6542,8.1e-05,0.5084,0.1502,0.8948,0.5995,0.6513,0.4821,0.4612,,,,,0.4955,0.4967,0.1387,
ogbn-arxiv,GraphSAGE,epsd,"{""lambda_epsd"": 5.0}",789,0.6542,8.1e-05,0.556,0.1906,0.9079,0.5921,0.6519,0.4812,0.4657,,,,,0.4929,0.5078,0.1519,
ogbn-arxiv,GraphSAGE,epsd,"{""lambda_epsd"": 5.0}",1024,0.6542,8.1e-05,0.5549,0.1816,0.9063,0.5849,0.651,0.484,0.4685,,,,,0.4914,0.5055,0.1467,
