dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,wall_seconds,sami_config
Actor,GraphSAGE,none,{},42,06e54a47c487,0.2188,0.00052,0.327,0.903,0.576,0.3146,0.6554,0.8756,0.7984,0.8401,0.777,0.0013,0.0115,0.788,0.788,0.8747,0.7993,,,0.6159,0.5855,0.0026,0.0303,0.2703,4.1016,1,,13.96,
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.2188,0.00052,0.3312,0.752,0.4207,0.3153,0.6003,0.7666,0.7161,0.7552,0.703,0.0,0.0171,0.7104,0.7104,0.7674,0.7158,,,0.5558,0.5375,0.003,0.0253,0.245,5.9654,1,,37.71,locked_cora_flagship
Actor,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,06e54a47c487,0.2188,0.00052,0.348,0.8516,0.5036,0.3277,0.6623,0.8488,0.7559,0.7835,0.7444,0.0,0.0105,0.7518,0.7518,0.8502,0.7556,,,0.5933,0.5689,0.0,0.0174,0.2486,2.718,1,,14.7,
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",42,06e54a47c487,0.2188,0.00052,0.297,0.6562,0.3592,0.2817,0.5708,0.7383,0.6951,0.7411,0.6898,0.0,0.0,0.6796,0.6796,0.7386,0.6891,,,0.5478,0.5329,0.0043,0.0332,0.2794,2.9442,1,,14.91,
Actor,GraphSAGE,maskarmor,"{""top_k"": 1}",42,06e54a47c487,0.2188,0.00052,0.327,0.903,0.576,0.3146,0.5701,0.7919,0.7901,0.788,0.5,0.0,0.0,0.788,0.788,0.7919,0.7901,,,0.8014,0.7123,0.0,0.0,0.673,2.7968,1,,13.93,
Actor,GraphSAGE,none,{},123,06e54a47c487,0.2188,0.00052,0.3414,0.9105,0.5691,0.3261,0.6627,0.8746,0.7977,0.8355,0.7806,0.0013,0.0128,0.7845,0.7845,0.872,0.7895,,,0.5983,0.5837,0.0053,0.0349,0.2554,2.6325,1,,13.59,
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,06e54a47c487,0.2188,0.00052,0.3132,0.7717,0.4586,0.2903,0.6003,0.7815,0.7286,0.7728,0.7214,0.0,0.0243,0.7293,0.7293,0.7822,0.7286,,,0.5515,0.5431,0.0141,0.0454,0.2603,9.0562,1,,50.8,locked_cora_flagship
Actor,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,06e54a47c487,0.2188,0.00052,0.3359,0.8539,0.5181,0.3126,0.6617,0.8449,0.7638,0.787,0.7464,0.0,0.0102,0.759,0.759,0.8459,0.7602,,,0.5791,0.5712,0.0033,0.022,0.269,2.3793,1,,14.21,
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",123,06e54a47c487,0.2188,0.00052,0.2849,0.6618,0.377,0.2711,0.5902,0.734,0.6901,0.7395,0.6954,0.0,0.0299,0.6885,0.6885,0.7361,0.6911,,,0.536,0.5349,0.003,0.0266,0.2892,2.9729,1,,14.67,
Actor,GraphSAGE,maskarmor,"{""top_k"": 1}",123,06e54a47c487,0.2188,0.00052,0.3414,0.9105,0.5691,0.3261,0.5786,0.7832,0.7812,0.7845,0.5,0.0,0.0,0.7845,0.7845,0.7832,0.7812,,,0.7905,0.7038,0.0,0.0,0.6586,2.9402,1,,13.81,
Actor,GraphSAGE,none,{},456,06e54a47c487,0.2188,0.00052,0.3375,0.9095,0.572,0.3259,0.6599,0.8798,0.8063,0.84,0.7826,0.0013,0.0122,0.786,0.786,0.8788,0.8013,,,0.6151,0.5868,0.0151,0.0444,0.2604,2.4962,1,,14.39,
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",456,06e54a47c487,0.2188,0.00052,0.3095,0.7691,0.4595,0.2939,0.607,0.7869,0.7329,0.7771,0.7266,0.0,0.0,0.7298,0.7298,0.7883,0.7365,,,0.56,0.5423,0.0099,0.0329,0.2633,9.7953,1,,48.13,locked_cora_flagship
Actor,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,06e54a47c487,0.2188,0.00052,0.3349,0.8576,0.5227,0.3145,0.6602,0.8484,0.7661,0.7944,0.7569,0.0,0.0115,0.7613,0.7613,0.8506,0.7655,,,0.5937,0.5709,0.0046,0.027,0.2636,2.7993,1,,14.92,
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",456,06e54a47c487,0.2188,0.00052,0.2796,0.653,0.3734,0.2645,0.572,0.7366,0.6924,0.7376,0.6947,0.0,0.026,0.6867,0.6867,0.7362,0.6908,,,0.5619,0.5467,0.0036,0.0349,0.2995,2.8809,1,,15.05,
Actor,GraphSAGE,maskarmor,"{""top_k"": 1}",456,06e54a47c487,0.2188,0.00052,0.3375,0.9095,0.572,0.3259,0.5783,0.795,0.7924,0.786,0.5,0.0,0.0,0.786,0.786,0.795,0.7924,,,0.7983,0.7028,0.0,0.0,0.6625,2.9737,1,,15.57,
Actor,GraphSAGE,none,{},789,06e54a47c487,0.2188,0.00052,0.328,0.9092,0.5813,0.3121,0.6522,0.8761,0.7961,0.8399,0.7799,0.0053,0.0187,0.7906,0.7906,0.8723,0.7957,,,0.6044,0.5832,0.0072,0.0263,0.2792,3.5031,1,,16.41,
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",789,06e54a47c487,0.2188,0.00052,0.3072,0.7559,0.4487,0.2823,0.5947,0.7794,0.7349,0.7702,0.7168,0.0,0.0253,0.7243,0.7243,0.7811,0.7345,,,0.5512,0.5365,0.0033,0.0266,0.2735,10.3808,1,,55.11,locked_cora_flagship
Actor,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",789,06e54a47c487,0.2188,0.00052,0.3329,0.8536,0.5207,0.3083,0.6518,0.8442,0.7635,0.7921,0.7484,0.0,0.0148,0.7604,0.7604,0.8444,0.7645,,,0.5872,0.5704,0.0056,0.0161,0.2768,3.1585,1,,15.94,
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",789,06e54a47c487,0.2188,0.00052,0.2911,0.652,0.3609,0.2747,0.5771,0.7325,0.6964,0.7301,0.6859,0.0,0.0,0.6804,0.6804,0.7346,0.6974,,,0.5389,0.5257,0.002,0.022,0.2895,3.1835,1,,18.31,
Actor,GraphSAGE,maskarmor,"{""top_k"": 1}",789,06e54a47c487,0.2188,0.00052,0.328,0.9092,0.5813,0.3121,0.5699,0.7919,0.7931,0.7906,0.5,0.0,0.0,0.7906,0.7906,0.7919,0.7931,,,0.8029,0.7135,0.0,0.0,0.672,3.822,1,,26.37,
Actor,GraphSAGE,none,{},1024,06e54a47c487,0.2188,0.00052,0.3395,0.902,0.5625,0.3217,0.6609,0.871,0.7944,0.8247,0.7727,0.0003,0.0118,0.7812,0.7812,0.8703,0.7977,,,0.591,0.5706,0.0082,0.0296,0.2603,4.9297,1,,17.48,
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",1024,06e54a47c487,0.2188,0.00052,0.3247,0.7388,0.4141,0.2986,0.6095,0.7579,0.7105,0.7508,0.7049,0.0,0.0247,0.7071,0.7071,0.7615,0.7148,,,0.5394,0.5314,0.0033,0.0263,0.2466,9.9467,1,,51.95,locked_cora_flagship
Actor,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",1024,06e54a47c487,0.2188,0.00052,0.3438,0.852,0.5082,0.3203,0.6628,0.8484,0.7586,0.7797,0.748,0.0,0.0099,0.7541,0.7541,0.8512,0.7615,,,0.57,0.5541,0.002,0.0161,0.2564,3.2319,1,,15.97,
