dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,dp_epsilon
Cora,LogReg,none,{},42,eac9960f8ba0,0.81,0.00144,0.7442,0.9935,0.2493,0.7277,0.9429,0.7299,0.7101,0.6932,0.6307,0.0037,0.0055,0.743,0.6962,0.5965,0.5646,0.012,0.0443,0.0189,0.0317,
Cora,LogReg,none,{},123,eac9960f8ba0,0.81,0.00144,0.7507,0.9935,0.2428,0.7273,0.943,0.7462,0.6953,0.6862,0.6288,0.0009,0.0111,0.736,0.6921,0.6065,0.5716,0.0102,0.0443,0.0331,0.0204,
Cora,LogReg,none,{},456,eac9960f8ba0,0.81,0.00144,0.7516,0.9945,0.2428,0.7333,0.9451,0.7279,0.7128,0.6947,0.6417,0.0055,0.0212,0.7561,0.7068,0.5799,0.5508,0.0222,0.0323,0.0402,0.0214,
Cora,LogReg,none,{},789,eac9960f8ba0,0.81,0.00144,0.723,0.9954,0.2724,0.6918,0.9399,0.7153,0.7082,0.706,0.6547,0.0009,0.0148,0.7632,0.7087,0.5916,0.566,0.0139,0.0314,0.0364,0.0213,
Cora,LogReg,none,{},1024,eac9960f8ba0,0.81,0.00144,0.7267,0.9935,0.2669,0.7031,0.9393,0.7176,0.711,0.6991,0.6334,0.0,0.0065,0.7779,0.7161,0.6,0.5776,0.0074,0.0388,0.0448,0.0212,
Cora,MLP,none,{},42,eac9960f8ba0,0.81,0.00144,0.7285,1.0,0.2715,0.7107,0.9251,0.8003,0.7719,0.8012,0.7424,0.0,0.0,0.7996,0.7664,0.6229,0.591,0.0129,0.0591,0.1474,0.3063,
Cora,MLP,none,{},123,eac9960f8ba0,0.81,0.00144,0.7313,1.0,0.2687,0.7067,0.9273,0.7886,0.7544,0.7874,0.723,0.0,0.0,0.7858,0.7544,0.6284,0.6002,0.0092,0.0369,0.1459,0.3252,
Cora,MLP,none,{},456,eac9960f8ba0,0.81,0.00144,0.7535,1.0,0.2465,0.7366,0.9337,0.7975,0.7692,0.8026,0.7405,0.0,0.0175,0.8014,0.7715,0.6001,0.5702,0.0092,0.0471,0.1219,0.3143,
Cora,MLP,none,{},789,eac9960f8ba0,0.81,0.00144,0.6981,1.0,0.3019,0.6608,0.9226,0.779,0.759,0.8005,0.7396,0.0,0.0194,0.7991,0.7761,0.609,0.5849,0.0203,0.0425,0.178,0.3254,
Cora,MLP,none,{},1024,eac9960f8ba0,0.81,0.00144,0.7221,1.0,0.2779,0.6874,0.9193,0.7899,0.7682,0.8075,0.7525,0.0,0.0102,0.8064,0.7867,0.6246,0.6006,0.0185,0.0369,0.1408,0.3257,
Cora,GCN,none,{},42,eac9960f8ba0,0.81,0.00144,0.8717,0.9825,0.1108,0.8677,0.9827,0.5771,0.5743,0.5692,0.5392,0.0,0.0046,0.5669,0.5628,0.5434,0.5319,0.0055,0.0212,0.0524,0.3302,
Cora,GCN,none,{},123,eac9960f8ba0,0.81,0.00144,0.8587,0.9852,0.1265,0.8484,0.9783,0.5703,0.5651,0.5769,0.5355,0.0,0.0129,0.5636,0.5674,0.5517,0.5282,0.0065,0.0259,0.0415,0.2626,
Cora,GCN,none,{},456,eac9960f8ba0,0.81,0.00144,0.8726,0.9834,0.1108,0.8659,0.9835,0.5859,0.5789,0.5614,0.5328,0.0,0.0065,0.5777,0.5665,0.5335,0.5291,0.0009,0.0102,0.0328,0.2624,
