dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,wall_seconds
Chameleon,GraphSAGE,none,{},42,06e54a47c487,0.235,0.006966,0.4402,0.5055,0.9594,0.5192,random_40_20_40,0.4383,0.7591,0.8829,0.82,0.8884,0.8299,0.0,0.1076,0.7596,0.7596,0.8858,0.8255,,,0.6328,0.6092,0.0066,0.0571,0.2938,5.9302,1,,36.27
Chameleon,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,06e54a47c487,0.235,0.006966,0.4665,0.5275,0.9572,0.4907,random_40_20_40,0.4612,0.7187,0.8014,0.7475,0.7684,0.6894,0.0,0.0296,0.7453,0.7453,0.797,0.7519,,,0.5933,0.5692,0.0011,0.0176,0.4093,7.4447,1,,38.63
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",42,06e54a47c487,0.235,0.006966,0.393,0.4198,0.7947,0.4018,random_40_20_40,0.3919,0.6717,0.7605,0.7179,0.7542,0.697,0.0,0.0,0.7009,0.7009,0.7621,0.7058,,,0.5369,0.5313,0.0011,0.0241,0.2173,8.9053,1,,40.83
Chameleon,GraphSAGE,maskarmor,"{""top_k"": 1}",42,06e54a47c487,0.235,0.006966,0.4402,0.5055,0.9594,0.5192,random_40_20_40,0.4383,0.6496,0.7561,0.753,0.7596,0.5,0.0,0.0,0.7596,0.7596,0.7561,0.753,,,0.7688,0.674,0.0,0.0,0.5598,7.0716,1,,36.45
Chameleon,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.235,0.006966,0.4369,0.6725,0.9023,0.4654,random_40_20_40,0.4345,0.7195,0.7908,0.7563,0.7914,0.7322,0.0,0.0,0.7327,0.7327,0.7912,0.7585,,,0.5615,0.5494,0.0022,0.034,0.2076,22.9096,1,,125.95
Chameleon,GraphSAGE,none,{},123,06e54a47c487,0.235,0.006966,0.4643,0.4659,0.966,0.5016,random_40_20_40,0.4609,0.7564,0.8688,0.8255,0.8773,0.8167,0.0011,0.0637,0.7508,0.7508,0.8724,0.8288,,,0.6052,0.5955,0.0011,0.056,0.2792,8.9238,1,,45.43
Chameleon,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,06e54a47c487,0.235,0.006966,0.4786,0.4791,0.9594,0.4808,random_40_20_40,0.4716,0.718,0.7885,0.7563,0.7703,0.6948,0.0,0.034,0.7404,0.7404,0.8026,0.7596,,,0.5698,0.5571,0.0,0.0165,0.3975,9.2594,1,,44.74
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",123,06e54a47c487,0.235,0.006966,0.3974,0.367,0.8189,0.4215,random_40_20_40,0.395,0.67,0.7595,0.7102,0.7683,0.6992,0.0,0.0615,0.7108,0.7108,0.7595,0.7124,,,0.5309,0.5291,0.0044,0.0505,0.2082,9.4314,1,,42.73
Chameleon,GraphSAGE,maskarmor,"{""top_k"": 1}",123,06e54a47c487,0.235,0.006966,0.4643,0.4659,0.966,0.5016,random_40_20_40,0.4609,0.6649,0.762,0.764,0.7508,0.5,0.0,0.0,0.7508,0.7508,0.762,0.764,,,0.773,0.68,0.0,0.0,0.5357,7.3806,1,,36.34
Chameleon,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,06e54a47c487,0.235,0.006966,0.4808,0.6923,0.9385,0.4577,random_40_20_40,0.4796,0.7261,0.794,0.7486,0.7942,0.7256,0.0,0.0637,0.7289,0.7289,0.7943,0.7409,,,0.539,0.5368,0.0011,0.0318,0.1764,22.2899,1,,110.51
