dataset,model,y_true,y_pred,h_target,rho_target
synth_h0.2_r0.005_snr0.25,GCN,0.703723986856517,0.6178664362175608,0.2,0.005
synth_h0.2_r0.005_snr0.25,GraphSAGE,0.7609137850101706,0.6824454597352223,0.2,0.005
synth_h0.2_r0.005_snr1.0,GCN,0.5771397277421374,0.5387351881328557,0.2,0.005
synth_h0.2_r0.005_snr1.0,GraphSAGE,0.5802691284618995,0.6033142116505172,0.2,0.005
synth_h0.2_r0.005_snr2.5,GCN,0.5348145830073541,0.5306412817888306,0.2,0.005
synth_h0.2_r0.005_snr2.5,GraphSAGE,0.4704662807072445,0.5952203053064922,0.2,0.005
synth_h0.2_r0.01_snr0.25,GCN,0.685104052573932,0.61194480865922,0.2,0.01
synth_h0.2_r0.01_snr0.25,GraphSAGE,0.7343921139101863,0.6597055562817767,0.2,0.01
synth_h0.2_r0.01_snr1.0,GCN,0.5623533093412612,0.5315025384412054,0.2,0.01
synth_h0.2_r0.01_snr1.0,GraphSAGE,0.5873102800813644,0.5792632860637622,0.2,0.01
synth_h0.2_r0.01_snr2.5,GCN,0.5521827570020341,0.5187066873887428,0.2,0.01
synth_h0.2_r0.01_snr2.5,GraphSAGE,0.5891096854952277,0.5664674350112996,0.2,0.01
synth_h0.2_r0.02_snr0.25,GCN,0.6186825222969802,0.6109219595934906,0.2,0.02
synth_h0.2_r0.02_snr0.25,GraphSAGE,0.7005945861367548,0.655102012139072,0.2,0.02
synth_h0.2_r0.02_snr1.0,GCN,0.5089187920513221,0.529433381730245,0.2,0.02
synth_h0.2_r0.02_snr1.0,GraphSAGE,0.573892974495384,0.5736134342758265,0.2,0.02
synth_h0.2_r0.02_snr2.5,GCN,0.4939759036144578,0.5193033785130546,0.2,0.02
synth_h0.2_r0.02_snr2.5,GraphSAGE,0.4981614770771397,0.5634834310586361,0.2,0.02
synth_h0.2_r0.04_snr0.25,GCN,0.5716632764825536,0.6106759818726107,0.2,0.04
synth_h0.2_r0.04_snr0.25,GraphSAGE,0.6726646847128774,0.6407220039193222,0.2,0.04
synth_h0.2_r0.04_snr1.0,GCN,0.4633860115787827,0.5279156393661006,0.2,0.04
synth_h0.2_r0.04_snr1.0,GraphSAGE,0.582342356438742,0.5579616614128121,0.2,0.04
synth_h0.2_r0.04_snr2.5,GCN,0.48865592239086214,0.5161208230031392,0.2,0.04
synth_h0.2_r0.04_snr2.5,GraphSAGE,0.5169378813957127,0.5461668450498507,0.2,0.04
synth_h0.4_r0.005_snr0.25,GCN,0.6435612580190893,0.6085980367881194,0.4,0.005
synth_h0.4_r0.005_snr0.25,GraphSAGE,0.7280550774526677,0.6454742000934431,0.4,0.005
synth_h0.4_r0.005_snr1.0,GCN,0.5364575183852291,0.5289437634941057,0.4,0.005
synth_h0.4_r0.005_snr1.0,GraphSAGE,0.5420904396808011,0.5658199267994294,0.4,0.005
synth_h0.4_r0.005_snr2.5,GCN,0.4996870599280238,0.5175916243630491,0.4,0.005
synth_h0.4_r0.005_snr2.5,GraphSAGE,0.5265216710999843,0.5544677876683728,0.4,0.005
synth_h0.4_r0.01_snr0.25,GCN,0.606869034579878,0.6004236332771486,0.4,0.01
synth_h0.4_r0.01_snr0.25,GraphSAGE,0.6731340948208417,0.6359278183181067,0.4,0.01
synth_h0.4_r0.01_snr1.0,GCN,0.5125176028790486,0.5177805334149949,0.4,0.01
synth_h0.4_r0.01_snr1.0,GraphSAGE,0.565013299953059,0.5532847184559531,0.4,0.01
synth_h0.4_r0.01_snr2.5,GCN,0.511657017681114,0.5054433107219808,0.4,0.01
synth_h0.4_r0.01_snr2.5,GraphSAGE,0.5424424972617743,0.540947495762939,0.4,0.01
synth_h0.4_r0.02_snr0.25,GCN,0.52605226099202,0.5944535674772549,0.4,0.02
synth_h0.4_r0.02_snr0.25,GraphSAGE,0.6258019089344391,0.6275129649812577,0.4,0.02
synth_h0.4_r0.02_snr1.0,GCN,0.46956657800031293,0.5110781912325846,0.4,0.02
synth_h0.4_r0.02_snr1.0,GraphSAGE,0.5018776404318572,0.5441375887365875,0.4,0.02
synth_h0.4_r0.02_snr2.5,GCN,0.4415584415584416,0.4982550350407708,0.4,0.02
synth_h0.4_r0.02_snr2.5,GraphSAGE,0.5210452198404006,0.5313144325447736,0.4,0.02
synth_h0.4_r0.04_snr0.25,GCN,0.5371616335471757,0.5811981503098753,0.4,0.04
synth_h0.4_r0.04_snr0.25,GraphSAGE,0.6329995305898921,0.6139026375097496,0.4,0.04
synth_h0.4_r0.04_snr1.0,GCN,0.4576748552652167,0.4992206020157118,0.4,0.04
synth_h0.4_r0.04_snr1.0,GraphSAGE,0.48705210452198405,0.5319250892155861,0.4,0.04
synth_h0.4_r0.04_snr2.5,GCN,0.5232358003442341,0.4820215490869214,0.4,0.04
synth_h0.4_r0.04_snr2.5,GraphSAGE,0.5476060084493819,0.5147260362867957,0.4,0.04
synth_h0.6_r0.005_snr0.25,GCN,0.544711312783602,0.5981233310337152,0.6,0.005
synth_h0.6_r0.005_snr0.25,GraphSAGE,0.6715693944609608,0.6200365905837109,0.6,0.005
synth_h0.6_r0.005_snr1.0,GCN,0.4916679705836332,0.5157469966666263,0.6,0.005
synth_h0.6_r0.005_snr1.0,GraphSAGE,0.5147081833828822,0.537660256216622,0.6,0.005
synth_h0.6_r0.005_snr2.5,GCN,0.4622124863088718,0.5046891822984458,0.6,0.005
synth_h0.6_r0.005_snr2.5,GraphSAGE,0.4815756532624002,0.5266024418484415,0.6,0.005
synth_h0.6_r0.01_snr0.25,GCN,0.5478798310123612,0.5797854120186707,0.6,0.01
synth_h0.6_r0.01_snr0.25,GraphSAGE,0.6436394930370835,0.6073729434530154,0.6,0.01
synth_h0.6_r0.01_snr1.0,GCN,0.5258957909560319,0.49490964290998635,0.6,0.01
synth_h0.6_r0.01_snr1.0,GraphSAGE,0.5303551869816929,0.5224971743443311,0.6,0.01
synth_h0.6_r0.01_snr2.5,GCN,0.5444374902206227,0.4809764791561902,0.6,0.01
synth_h0.6_r0.01_snr2.5,GraphSAGE,0.5363792833672352,0.5085640105905349,0.6,0.01
synth_h0.6_r0.02_snr0.25,GCN,0.5124393678610545,0.5682267852109343,0.6,0.02
synth_h0.6_r0.02_snr0.25,GraphSAGE,0.5575809732436239,0.6029522263488661,0.6,0.02
synth_h0.6_r0.02_snr1.0,GCN,0.5624315443592552,0.4805132321738702,0.6,0.02
