dataset,model,defense,acc_mean,acc_std,conf_mean,conf_std,lira_mean,lira_std,ece_mean,lira_tpr01_mean,lira_tpr001_mean
Citeseer,GCN,dropedge,0.7207,0.0091,0.6511,0.0198,0.5575,0.0083,0.1496,0.0195,0.0059
Citeseer,GCN,gtd,0.7241,0.0066,0.6532,0.0212,0.546,0.0069,0.2018,0.0153,0.0024
Citeseer,GCN,label_smoothing,0.7137,0.0087,0.6612,0.0246,0.5674,0.0071,0.0659,0.02,0.005
Citeseer,GCN,lbp,0.5962,0.0116,0.6268,0.0211,0.5933,0.0081,0.0611,0.0327,0.0063
Citeseer,GCN,none,0.7171,0.0046,0.641,0.0195,0.5598,0.0059,0.1733,0.0197,0.0032
Citeseer,GCN,sami,0.7237,0.0053,0.6327,0.023,0.5752,0.015,0.0431,0.0332,0.0032
Citeseer,GraphSAGE,dropedge,0.7501,0.0076,0.7616,0.0235,0.605,0.0132,0.1425,0.0478,0.0192
Citeseer,GraphSAGE,gtd,0.7391,0.0073,0.6293,0.0237,0.551,0.01,0.2288,0.0224,0.0041
Citeseer,GraphSAGE,label_smoothing,0.7376,0.0086,0.8051,0.0244,0.6105,0.009,0.032,0.0478,0.0207
Citeseer,GraphSAGE,lbp,0.6131,0.0143,0.6562,0.0145,0.6957,0.0114,0.0647,0.0427,0.0084
Citeseer,GraphSAGE,none,0.7401,0.008,0.741,0.0295,0.5956,0.0081,0.1449,0.0454,0.0164
Citeseer,GraphSAGE,sami,0.7445,0.0043,0.6566,0.0209,0.5903,0.0121,0.0351,0.0392,0.0083
Citeseer,LogReg,none,0.7055,0.0071,0.7572,0.015,0.6246,0.0074,0.0581,0.0475,0.0189
Citeseer,MLP,none,0.7041,0.0127,0.8646,0.014,0.6401,0.0126,0.1702,0.057,0.0293
Cora,GCN,advreg,0.8683,0.0042,0.5723,0.0205,0.5325,0.0134,0.0433,0.0196,0.0033
Cora,GCN,dropedge,0.8692,0.0044,0.5728,0.0138,0.537,0.0076,0.0281,0.0187,0.004
Cora,GCN,gtd,0.8741,0.0061,0.5645,0.0202,0.5351,0.0118,0.0506,0.0177,0.003
Cora,GCN,label_smoothing,0.8676,0.005,0.6157,0.0332,0.549,0.0119,0.0873,0.0192,0.005
Cora,GCN,lbp,0.6833,0.016,0.5617,0.0282,0.5615,0.007,0.1195,0.0188,0.0054
