dataset,model,defense,mean_none,mean_defense,diff,p_value,p_adjusted,adjustment,effect_size_delta
Citeseer,GCN,dropedge,0.55978,0.55754,-0.0022399999999999976,0.2626070255873459,1.0,holm,-0.0022399999999999976
Citeseer,GCN,label_smoothing,0.55978,0.56738,0.007599999999999984,0.009378242349370661,0.5908292680103516,holm,0.007599999999999984
Citeseer,GCN,lbp,0.55978,0.5932999999999999,0.033520000000000015,6.404823060119383e-05,0.004867665525690731,holm,0.033520000000000015
Citeseer,GCN,gtd,0.55978,0.54602,-0.01376000000000004,0.00012698838670786812,0.009524129003090109,holm,-0.01376000000000004
Citeseer,GCN,sami,0.55978,0.5752200000000001,0.015439999999999964,0.020574151603041272,1.0,holm,0.015439999999999964
Citeseer,GraphSAGE,dropedge,0.5956400000000001,0.60504,0.009399999999999986,0.025444284215969632,1.0,holm,0.009399999999999986
Citeseer,GraphSAGE,label_smoothing,0.5956400000000001,0.61052,0.014879999999999982,0.0027420887089042245,0.19743038704110416,holm,0.014879999999999982
Citeseer,GraphSAGE,lbp,0.5956400000000001,0.69566,0.10002,5.530773527481666e-07,4.424618821985333e-05,holm,0.10002
Citeseer,GraphSAGE,gtd,0.5956400000000001,0.5509600000000001,-0.044679999999999984,3.0359242583063364e-06,0.00023983801640620057,holm,-0.044679999999999984
Citeseer,GraphSAGE,sami,0.5956400000000001,0.59032,-0.005320000000000014,0.08519687191181943,1.0,holm,-0.005320000000000014
Cora,GCN,dropedge,0.53944,0.5369999999999999,-0.0024399999999999535,0.29771790353801975,1.0,holm,-0.0024399999999999535
Cora,GCN,label_smoothing,0.53944,0.54904,0.009599999999999987,0.005536025478490256,0.3653776815803569,holm,0.009599999999999987
Cora,GCN,lbp,0.53944,0.5614999999999999,0.02205999999999999,0.008808575585791682,0.5637488374906676,holm,0.02205999999999999
Cora,GCN,gtd,0.53944,0.53508,-0.004360000000000008,0.1559436878821148,1.0,holm,-0.004360000000000008
Cora,GCN,sami,0.53944,0.53268,-0.006759999999999966,0.18087308053980056,1.0,holm,-0.006759999999999966
Cora,GCN,sami_no_lte,0.53944,0.56662,0.027180000000000003,0.0025201967306163345,0.18397436133499243,holm,0.027180000000000003
Cora,GCN,sami_no_adv,0.53944,0.5354,-0.004039999999999977,0.5064549102652425,1.0,holm,-0.004039999999999977
Cora,GCN,sami_no_gate,0.53944,0.5320199999999999,-0.007420000000000005,0.17564434393485082,1.0,holm,-0.007420000000000005
Cora,GCN,sami_temp_only,0.53944,0.5321,-0.007339999999999969,0.05789421794924304,1.0,holm,-0.007339999999999969
Cora,GCN,advreg,0.53944,0.53248,-0.006959999999999989,0.17353235630676156,1.0,holm,-0.006959999999999989
Cora,GraphSAGE,dropedge,0.56672,0.5748,0.008079999999999999,0.0649618766334242,1.0,holm,0.008079999999999999
Cora,GraphSAGE,label_smoothing,0.56672,0.5906200000000001,0.02390000000000001,0.00018662947521886356,0.013810581166195903,holm,0.02390000000000001
Cora,GraphSAGE,lbp,0.56672,0.64464,0.07791999999999999,2.6744624335658737e-05,0.0020593360738457227,holm,0.07791999999999999
Cora,GraphSAGE,gtd,0.56672,0.53824,-0.028479999999999995,9.638535752324042e-06,0.0007518057886812753,holm,-0.028479999999999995
Cora,GraphSAGE,sami,0.56672,0.53876,-0.027960000000000006,0.0035653369722784467,0.24600825108721283,holm,-0.027960000000000006
Cora,GraphSAGE,sami_no_lte,0.56672,0.6022999999999998,0.03557999999999999,0.0033157977533566714,0.232105842734967,holm,0.03557999999999999
Cora,GraphSAGE,sami_no_adv,0.56672,0.5448999999999999,-0.021820000000000016,0.006205236797918374,0.40334039186469434,holm,-0.021820000000000016
Cora,GraphSAGE,sami_no_gate,0.56672,0.53874,-0.027980000000000005,0.0029725874761396772,0.2110537108059171,holm,-0.027980000000000005
Cora,GraphSAGE,sami_temp_only,0.56672,0.5545,-0.012220000000000009,0.004355743313444121,0.29619054531420025,holm,-0.012220000000000009
Cora,GraphSAGE,advreg,0.56672,0.54324,-0.02348000000000001,0.004976908079475031,0.3334528413248271,holm,-0.02348000000000001
PubMed,GCN,dropedge,0.50024,0.49939999999999996,-0.0008399999999999852,0.366787687739076,1.0,holm,-0.0008399999999999852
PubMed,GCN,label_smoothing,0.50024,0.4991,-0.0011400000000000078,0.20704116592809296,1.0,holm,-0.0011400000000000078
PubMed,GCN,lbp,0.50024,0.50038,0.00013999999999997348,0.8703386451457928,1.0,holm,0.00013999999999997348
PubMed,GCN,gtd,0.50024,0.49822,-0.0020199999999999997,0.0312622467832672,1.0,holm,-0.0020199999999999997
PubMed,GCN,sami,0.50024,0.49892000000000003,-0.0013199999999999878,0.565056904394019,1.0,holm,-0.0013199999999999878
PubMed,GraphSAGE,dropedge,0.5057,0.5037400000000001,-0.001960000000000006,0.016748237805819657,1.0,holm,-0.001960000000000006
PubMed,GraphSAGE,label_smoothing,0.5057,0.50418,-0.0015200000000000324,0.1409017070840081,1.0,holm,-0.0015200000000000324
PubMed,GraphSAGE,lbp,0.5057,0.50508,-0.0006200000000000205,0.5792389794154469,1.0,holm,-0.0006200000000000205
PubMed,GraphSAGE,gtd,0.5057,0.50262,-0.003080000000000016,0.04035458566115149,1.0,holm,-0.003080000000000016
PubMed,GraphSAGE,sami,0.5057,0.5025799999999999,-0.003120000000000045,0.0367837512240159,1.0,holm,-0.003120000000000045
synthetic_high_dense,GCN,dropedge,0.49404000000000003,0.49362000000000006,-0.00042000000000000923,0.9226511943925209,1.0,holm,-0.00042000000000000923
synthetic_high_dense,GCN,label_smoothing,0.49404000000000003,0.50114,0.0071000000000000065,0.36898219344790884,1.0,holm,0.0071000000000000065
synthetic_high_dense,GCN,lbp,0.49404000000000003,0.48860000000000003,-0.005439999999999989,0.6249473909732666,1.0,holm,-0.005439999999999989
synthetic_high_dense,GCN,gtd,0.49404000000000003,0.48984000000000005,-0.004199999999999993,0.34794383993899897,1.0,holm,-0.004199999999999993
synthetic_high_dense,GCN,sami,0.49404000000000003,0.50928,0.015240000000000009,0.4269967933133126,1.0,holm,0.015240000000000009
synthetic_high_dense,GraphSAGE,dropedge,0.49804000000000004,0.49508,-0.002960000000000007,0.1506539531868918,1.0,holm,-0.002960000000000007
synthetic_high_dense,GraphSAGE,label_smoothing,0.49804000000000004,0.50882,0.01077999999999999,0.20003732645590294,1.0,holm,0.01077999999999999
synthetic_high_dense,GraphSAGE,lbp,0.49804000000000004,0.48963999999999996,-0.008400000000000019,0.3357171927308849,1.0,holm,-0.008400000000000019
synthetic_high_dense,GraphSAGE,gtd,0.49804000000000004,0.49878,0.0007400000000000184,0.3646911441606745,1.0,holm,0.0007400000000000184
synthetic_high_dense,GraphSAGE,sami,0.49804000000000004,0.5112,0.013160000000000015,0.4652875875093377,1.0,holm,0.013160000000000015
synthetic_low_medium,GCN,dropedge,0.49286,0.5004799999999999,0.007619999999999993,0.09736177461077967,1.0,holm,0.007619999999999993
synthetic_low_medium,GCN,label_smoothing,0.49286,0.49366000000000004,0.0007999999999999896,0.7164839767326137,1.0,holm,0.0007999999999999896
synthetic_low_medium,GCN,lbp,0.49286,0.49345999999999995,0.0005999999999999894,0.931616203532177,1.0,holm,0.0005999999999999894
synthetic_low_medium,GCN,gtd,0.49286,0.49612,0.0032599999999999964,0.038333927946933605,1.0,holm,0.0032599999999999964
synthetic_low_medium,GCN,sami,0.49286,0.48927999999999994,-0.0035800000000000276,0.7185999905986318,1.0,holm,-0.0035800000000000276
synthetic_low_medium,GraphSAGE,dropedge,0.5016999999999999,0.5048199999999999,0.0031200000000000004,0.7981230738475427,1.0,holm,0.0031200000000000004
synthetic_low_medium,GraphSAGE,label_smoothing,0.5016999999999999,0.50324,0.0015399999999999969,0.9205381586138082,1.0,holm,0.0015399999999999969
synthetic_low_medium,GraphSAGE,lbp,0.5016999999999999,0.49116,-0.010540000000000004,0.484103168373404,1.0,holm,-0.010540000000000004
synthetic_low_medium,GraphSAGE,gtd,0.5016999999999999,0.4967,-0.004999999999999993,0.3729284935638978,1.0,holm,-0.004999999999999993
synthetic_low_medium,GraphSAGE,sami,0.5016999999999999,0.5033799999999999,0.0016800000000000038,0.9361613840063256,1.0,holm,0.0016800000000000038
synthetic_low_sparse,GCN,dropedge,0.50216,0.5026999999999999,0.000539999999999996,0.8831267315906467,1.0,holm,0.000539999999999996
synthetic_low_sparse,GCN,label_smoothing,0.50216,0.50266,0.0005000000000000004,0.8729019283474617,1.0,holm,0.0005000000000000004
synthetic_low_sparse,GCN,lbp,0.50216,0.49284,-0.009319999999999985,0.048120597545199366,1.0,holm,-0.009319999999999985
synthetic_low_sparse,GCN,gtd,0.50216,0.50378,0.0016199999999999882,0.35188420509447516,1.0,holm,0.0016199999999999882
synthetic_low_sparse,GCN,sami,0.50216,0.50506,0.0029000000000000137,0.8260226786258286,1.0,holm,0.0029000000000000137
synthetic_low_sparse,GCN,sami_no_lte,0.50216,0.49704,-0.005119999999999991,0.738851400312813,1.0,holm,-0.005119999999999991
synthetic_low_sparse,GCN,sami_no_adv,0.50216,0.50344,0.0012799999999999923,0.9104848137489358,1.0,holm,0.0012799999999999923
synthetic_low_sparse,GCN,sami_no_gate,0.50216,0.50102,-0.0011399999999999965,0.922293079812054,1.0,holm,-0.0011399999999999965
synthetic_low_sparse,GCN,sami_temp_only,0.50216,0.50794,0.005780000000000007,0.3025334113500017,1.0,holm,0.005780000000000007
synthetic_low_sparse,GCN,advreg,0.50216,0.50074,-0.001419999999999999,0.42323621113868487,1.0,holm,-0.001419999999999999
synthetic_low_sparse,GraphSAGE,dropedge,0.5003,0.49939999999999996,-0.0008999999999999786,0.8593295052731105,1.0,holm,-0.0008999999999999786
synthetic_low_sparse,GraphSAGE,label_smoothing,0.5003,0.50054,0.00023999999999999578,0.960674501341672,1.0,holm,0.00023999999999999578
synthetic_low_sparse,GraphSAGE,lbp,0.5003,0.4894,-0.010899999999999988,0.38853723611022156,1.0,holm,-0.010899999999999988
synthetic_low_sparse,GraphSAGE,gtd,0.5003,0.4995799999999999,-0.0007199999999999984,0.8423375016441852,1.0,holm,-0.0007199999999999984
synthetic_low_sparse,GraphSAGE,sami,0.5003,0.50766,0.007360000000000011,0.42376458931477856,1.0,holm,0.007360000000000011
synthetic_low_sparse,GraphSAGE,sami_no_lte,0.5003,0.49522000000000005,-0.005079999999999985,0.6845180874873098,1.0,holm,-0.005079999999999985
synthetic_low_sparse,GraphSAGE,sami_no_adv,0.5003,0.50722,0.006920000000000015,0.438351660332395,1.0,holm,0.006920000000000015
synthetic_low_sparse,GraphSAGE,sami_no_gate,0.5003,0.50722,0.006920000000000015,0.438351660332395,1.0,holm,0.006920000000000015
synthetic_low_sparse,GraphSAGE,sami_temp_only,0.5003,0.5003400000000001,4.0000000000028904e-05,0.9968464920813128,1.0,holm,4.0000000000028904e-05
synthetic_low_sparse,GraphSAGE,advreg,0.5003,0.5046200000000001,0.0043200000000000235,0.6478797326460143,1.0,holm,0.0043200000000000235
