dataset,model,defense,baseline,metric,delta_mean,delta_std,ci_low,ci_high,n_seeds
Citeseer,GCN,sami,none,lira_attack_auc,0.015439999999999964,0.009294783483223283,0.006939999999999946,0.02122049999999997,5
Citeseer,GraphSAGE,sami,none,lira_attack_auc,-0.005320000000000014,0.005227523314151765,-0.009540000000000038,-0.0018799999999999928,5
Cora,GCN,sami,none,lira_attack_auc,-0.006759999999999966,0.009339593138889933,-0.014599999999999991,0.0006000000000000227,5
Cora,GraphSAGE,sami,none,lira_attack_auc,-0.027960000000000006,0.010181011737543589,-0.03590000000000002,-0.02023999999999999,5
PubMed,GCN,sami,none,lira_attack_auc,-0.0013199999999999878,0.00471243037083841,-0.005105000000000007,0.0021800000000000265,5
PubMed,GraphSAGE,sami,none,lira_attack_auc,-0.003120000000000045,0.0022620786900547493,-0.0050400000000000115,-0.0015800000000000703,5
synthetic_high_dense,GCN,sami,none,lira_attack_auc,0.015240000000000009,0.038582742256091644,-0.013519999999999976,0.04288000000000001,5
synthetic_high_dense,GraphSAGE,sami,none,lira_attack_auc,0.013160000000000015,0.03649695877741048,-0.016679999999999983,0.039980000000000016,5
synthetic_low_medium,GCN,sami,none,lira_attack_auc,-0.0035800000000000276,0.020695700036480996,-0.01978000000000002,0.011116999999999874,5
synthetic_low_medium,GraphSAGE,sami,none,lira_attack_auc,0.0016800000000000038,0.04406718733933445,-0.02939049999999991,0.03831999999999998,5
synthetic_low_sparse,GCN,sami,none,lira_attack_auc,0.0029000000000000137,0.02763846956689172,-0.017579999999999995,0.025663999999999975,5
synthetic_low_sparse,GraphSAGE,sami,none,lira_attack_auc,0.007360000000000011,0.01849183603647837,-0.006389499999999969,0.021360000000000035,5
Citeseer,GCN,lbp,none,lira_attack_auc,0.033520000000000015,0.004307783652877654,0.030420000000000023,0.03722000000000001,5
Citeseer,GraphSAGE,lbp,none,lira_attack_auc,0.10002,0.0038989742240748628,0.09684,0.10274000000000003,5
Cora,GCN,lbp,none,lira_attack_auc,0.02205999999999999,0.010330682455675413,0.01552,0.03061999999999998,5
Cora,GraphSAGE,lbp,none,lira_attack_auc,0.07791999999999999,0.008034114761440751,0.07264,0.08483999999999998,5
PubMed,GCN,lbp,none,lira_attack_auc,0.00013999999999997348,0.0017994443586840914,-0.0013000000000000455,0.0015599999999999503,5
PubMed,GraphSAGE,lbp,none,lira_attack_auc,-0.0006200000000000205,0.0023004347415216944,-0.002100000000000035,0.00129999999999999,5
synthetic_high_dense,GCN,lbp,none,lira_attack_auc,-0.005439999999999989,0.023004847315294244,-0.02458000000000001,0.011380000000000012,5
synthetic_high_dense,GraphSAGE,lbp,none,lira_attack_auc,-0.008400000000000019,0.01718123976900385,-0.02128000000000002,0.006195999999999876,5
synthetic_low_medium,GCN,lbp,none,lira_attack_auc,0.0005999999999999894,0.01468894141863191,-0.01070000000000001,0.011899999999999989,5
synthetic_low_medium,GraphSAGE,lbp,none,lira_attack_auc,-0.010540000000000004,0.03059678087642553,-0.03206,0.012719999999999976,5
synthetic_low_sparse,GCN,lbp,none,lira_attack_auc,-0.009319999999999985,0.007405876045411493,-0.015260999999999993,-0.0033400000000000096,5
synthetic_low_sparse,GraphSAGE,lbp,none,lira_attack_auc,-0.010899999999999988,0.02521864389692674,-0.030099999999999995,0.009140000000000014,5
Citeseer,GCN,gtd,none,lira_attack_auc,-0.01376000000000004,0.002103092960380023,-0.015440000000000054,-0.012039500000000031,5
Citeseer,GraphSAGE,gtd,none,lira_attack_auc,-0.044679999999999984,0.0026677706048309126,-0.04643999999999997,-0.042240000000000014,5
Cora,GCN,gtd,none,lira_attack_auc,-0.004360000000000008,0.00558730704364815,-0.009180000000000032,-5.9999999999993395e-05,5
Cora,GraphSAGE,gtd,none,lira_attack_auc,-0.028479999999999995,0.0022720035211239937,-0.030199999999999984,-0.026780000000000026,5
PubMed,GCN,gtd,none,lira_attack_auc,-0.0020199999999999997,0.0013881642554107226,-0.003100000000000003,-0.0009399999999999964,5
PubMed,GraphSAGE,gtd,none,lira_attack_auc,-0.003080000000000016,0.0023036926878383605,-0.004960000000000009,-0.0011600000000000054,5
synthetic_high_dense,GCN,gtd,none,lira_attack_auc,-0.004199999999999993,0.008839966063283267,-0.011822499999999982,0.0029200000000000003,5
synthetic_high_dense,GraphSAGE,gtd,none,lira_attack_auc,0.0007400000000000184,0.0016195678435928452,-0.0005814999999999669,0.0018200000000000217,5
synthetic_low_medium,GCN,gtd,none,lira_attack_auc,0.0032599999999999964,0.0023964557162609924,0.001499500000000013,0.005139999999999989,5
synthetic_low_medium,GraphSAGE,gtd,none,lira_attack_auc,-0.004999999999999993,0.01115504370229001,-0.01328699999999998,0.0035600000000000076,5
synthetic_low_sparse,GCN,gtd,none,lira_attack_auc,0.0016199999999999882,0.0034412207136421675,-0.0009199999999999986,0.0041599999999999745,5
